组织名称,名碟大连贸易有限公司
统一社会信用代码,91210282MA11F32P7N
行政处罚决定文书号,大税三稽罚[2022】46号
法人代表人,王亚男
违法行为类型,发票违法
违法事实,"根据推送案源的相关要求，我局对你单进行检查。我局在注册登记地址和生产经营地址未能找到你单位，经公告送达相关税务文书，你单位至今失联，属于走逃失联企业。通过你单位开户行中国民生银行大连西南路支行调取该单位存款账户（账号：1/214268查询发现你单位与上游企业的升票金额为4,015,199.04元，但向上游付款0元，付款比例为0%，你单位与下游企业升票金额3,994,925.2元，但收到下游企业货款0元，下游企业付款比例为0%，存在虚开增值税专用发票情况。"
处罚依据,《中华人民共和国发票管理力法》第二十二条第二款第（一）项“任何单位和个人不得有下列虚开发票行为：（一1为他人、为自已开具与实际经营业务情况不符的发票”、第二十七条第一款违反本力法第二十二条第二款的规定虚开发票的，由税务机关没收违法所得；虚开金额在1万元以下的，可以并处5万元以下的罚款；虚升金额超过1方元的，并处5方元以上50万元以下的罚款；构成犯罪的依法追究刑事责任”、《国家税务总局辽宁省税务局国家税务总局吉林省税务局国家税务总局黑龙江省税务局国家税务总局大莲市税务局关于发布东北区域税务行政处罚裁量基准>的公告》（2022年第1号）“六、违反发票及票证管理规定46.虚开发票（四）虚开金额超过100万元，或者有其他严重情节的，处50万元罚款“的规定。
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,50--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2022-12-27
处罚有效期,2023-01-11
公示截止期,2023-12-27
处罚机关,国家税务总局大连市税务局第三稽查局
