组织名称,金凯旋德润大连）再生资源有限公司
统一社会信用代码,91210200MA0QEC0U5
行政处罚决定文书号,大税三稽罚[2023]5号
法人代表人,甘志新
违法行为类型,发票违法
违法事实,根据协查案源的相关要求，找局对你单位进行检查。找局在注册登记地址和生产经营地址未能找到你单位，经公告送达相关税务文书，你单位至今失联，属于走逃失联企业。依据公安机关提供的你单位相关人员笔录分析，你单位是虚开团仪伙或员，进行无货交易，以收取开票手续费的方式，为他人虚开增值税专用发票。
处罚依据,《中华人民共和国发票管理力法》第二十二条第二款第（一项“任何单位和个人不得有下列虚开发票行为：（一为他人、为自已开具与实际经营业务情况不符的发票”、第三十七条第一款“违反本力法第二十二条第二款的规定虚开发票的，由税务机关没收违法所得：虚开金额在1万元以下的，可以并处5万元以下的罚款：虚开金额超过1万元的，并处5万元以上50万元以下的罚款：构成犯罪的依法道究刑事责任”、《国家税务总局辽宁省税务局国家税务总局吉林省税务局国家税务总局黑龙江省税务局国家税务总局大连市税务局关于发布东北区域税务行政处罚裁量基准>的公告》【2022年第1号】“六、违反发票及票证管理规定46.虚开发票（四虚开金额超过100万元，或者有其他严重情节的，处50万元罚款”的规定
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,50--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2023-01-30
处罚有效期,2023-02-15
公示截止期,2024-01-30
处罚机关,国家税务总局大连市税务局第三稽查局
