组织名称,大连木日造型美业有限公司金街分店
统一社会信用代码,91210213MA10WPR/9Y
行政处罚决定文书号,大金普市监综执处字【2022】312号
法人代表人,郑帅
违法行为类型,当事人未建意并执行进货查验记录制度经营化妆品的行为违反了《化妆品监管管理条例》第三十八条第一款规定
违法事实,"的大连木日造型美业有限公司金街分店经营场所实施日常监管执法检查，检查情况：1、现场在该美发店经营场所发现""Q8A剂染发膏即三崎染发膏烟熏蓝灰色GV55.16，国妆特字G20202843，净含量80g，生产企业：广州市三崎美容美发用品有限公司，许可证编号：粤妆20160369，地址：广州市花都区狮岭镇振兴工业区限期使用日期为2025/07/26，现场未能提供该产品进货查验记录和出厂检验合格证明。2、现场该单位未能出示化妆品进货查验记录。"
处罚依据,"依据化妆品监算管理条例》第六十二条第一款第（二项""有列情形之一的由负责药品监督管理的部门责令改正，给予警告，并处1方元以上3方元以下罚款：情节严重的，责令停产停业，并处3万元以上5万元以下罚款，对违法单位的法定代表人或者主要负责人、直接负责的主管人员和其他直接责任人员处1万元以上3方元以下罚款：（一）未依照本条例规定建立并执行进货查验记录制度、产品销售记录制度：“的规定。鉴于当事人只是未建立并执行进货查验记录制度的违法行为，对社会危害小，调查期间积极配合执法人员调查，如实陈述违法事实并主动提供证据材料，积极主动改正。按照处罚与教育相结合的基本原则，依据辽宁省药品监督管理局行政处罚裁量权适用规定》第条第一款，给予减轻处罚。"
处罚类别,罚款警告
处罚内容,警告并处罚款人民币壹仟元整（1000.00）。
罚款金额（万元）,0.1--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-01-09
处罚有效期,2099-12-31
公示截止期,2024-01-09
处罚机关,大连金普新区市场监管理局
