组织名称,大连亿利混凝土搅拌有限公司
统一社会信用代码,91210283687050492K
行政处罚决定文书号,2023050002
法人代表人,潘忠乙
违法行为类型,《中华人民共和国水污梁防法》第十条：排放水污梁物，不得超过国家或者地方规定的水污染物排放标准和重点水污染物排放总量控制指标。
违法事实,2022年11月9日庄河生态环境分局热法人员纪丰满、赵永涛，对大连亿利混凝士检测有限公司检测人员采集水样送检。该公可东墙外水管中排放的废水中污染物浓度为：总磷0.85mg/L、化学需氧量81mg/L、氢氮12.6mg/L和悬浮物35mg/L，分别超过宁省污水综合排放标准》（DB21/1627-2008）中规定的标准值07倍（标准值0.5mg/L）、0.62倍（标准值50mg/L）、0.26倍（标准值10mg/L和0./5倍（标准值20mg/1。2022年11月16日，我分局执法人员再次到该公可进行现场检查，发现该公司已将排水口用士回填。
处罚依据,《中华人民共和国水污梁防治法》第八十三条第二项：违反本法规定，有下列行为之一的，由县级以上人民做府环境保护主管部阶责令改止正者责令限制生产停产整治，并处十万元以上一百万元以下的罚款情节严重的，报经有批准权的人民政府批准，责令停业、关团：（二超过水污物排放标准或者超过重点水污物排放总量控制指标排放水污物的
处罚类别,罚款
处罚内容,罚款人民币壹拾万元整（￥100000）#
罚款金额（万元）,10
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2023-02-15
处罚有效期,2099-12-31
公示截止期,2024-02-15
处罚机关,大连市生态环境局
