组织名称,大连膳厨食品有限公司
统一社会信用代码,91210211MA0UTNWRX1
行政处罚决定文书号,甘市监执一处罚【[2022]004号
法人代表人,马永连
违法行为类型,违反了《中华人民共和国食品安全法》第三十四条第一款第（十三项“禁止生产经营下列食品、食品添加剂、食品相关产品：（十三其他不符合法律、法规或者食品安全标准的食品、食品添加剂、食品相关产品。“的规定
违法事实,经查，该公司委托生产该批次红薯山楂球（生产日期：2022年3月16日30袋，母袋工60克，全部销在辽宁华润万象生活超市有限公司沈阳市府店，该超市已销售26袋，剩余4袋被沈阳市市场局保存，现无法召回。每袋红著山楂球出！价4.2元，共售出30袋，故货值为126元，违法所得126元。
处罚依据,依据《中华人民共和国食品安全法》第一白二十四条第二款“违反本法规定有下列情形之一，尚不构成犯靠的，由县级以上人民政府食品药品监管理部阶没收违法所得和违法生产经营的食品、食品添加剂，并可以没收用于违法生产经营的工具、设备、原料等物品：违法生产经营的食品、食品添加剂货值金额不定一万元的，并处五万元以上十万元以下罚款：货值金额一万元以上的，并处货值金额十倍以上二十倍以下罚款：情节产重的，吊销许可证：除前款和本法第一白十三条、第一百二十五条规定的情形外，生产经营不符合法律、法规或者食品安全标准的食品、食品添加剂的，依照前款规定给予处罚。“的定依法对当事人进行行政处罚。
处罚类别,没收违法所得，罚款
处罚内容,1.没收违法所得126元；2.罚款30000元。罚没款合计30126元，上缴国库。
罚款金额（万元）,E0.0126
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-04
处罚有效期,2022-11-04
公示截止期,2023-11-04
处罚机关,大连市日井子区市场监管管理后
