组织名称,大连金普新区裕民国仁诊所有限公司
统一社会信用代码,91210213MA0YXFP16X
行政处罚决定文书号,大金卫废罚【2022】05号
法人代表人,任立国
违法行为类型,《医疗废物管理条例”第十六条第一款
违法事实,大连金普新区裕民国仁诊所有限公司于2022年11月7日，将两支便用后的带有针头的一次性注射器放置在诊所处置室内的桌面上，存在未将医疗废物按照类分置于专用包装物的行为，违反了《医疗度物管理条例》第十六条第一款，依据“医疗废物管理条例》第四十六条第（二项，应予处罚，建设立案调查。
处罚依据,《医疗废物管理条例》第四十六条第（二项
处罚类别,罚款警告
处罚内容,大连金普新区裕民国仁诊所有限公司于2022年11月7日，将两支便用后的带有针头的一次性注射器放置在诊所处置室内的桌面上，存在未将医疗废物按类份分置于专用包装物的行为，违反了《医疗废物管理条例》第十六条第一款，依据《医疗废物管理条例》第四十六条第（二项，给予当事人1、警告：2、罚款人民市肆什坎伯元整的行政处罚
罚款金额（万元）,0.49
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2023-01-31
处罚有效期,2099-12-31
公示截止期,2024-01-31
处罚机关,大连金普新区卫生健康局
