组织名称,大连彩泓贸易有限公司压河分公司
统一社会信用代码,91210283MA0UBNY037
行政处罚决定文书号,庄农(兽药)罚【2023】2号
法人代表人,刘宇
违法行为类型,经营假兽药案
违法事实,"当事人经营的标称山东聊城绿亚动物药业有限公司生产的批号为312101004的卡巴匹林钙可溶性粉”，于2022年5月25日被庄河市农业农村局执法人员依据大农发[2022125号文件监抽检。辽宁省兽药饲料蓄产品质量安全检测中心于2022年10月24日签发检验报告》（报告书编号：SY22WT0054)，其中检验项目：［鉴别l（2标准规定：在228nm和276nm的波长处有最大吸收。检验结果：在230nm波长处有最大吸收。在276nm波长处无最大吸收。项自结论：不符合规定。检验结论：本品依据《兽药质量标准》（2017年版）化学药品卷检验，不符合规定。2022年12月20日接到辽宁省兽药饲料蓄产品质量安全检测中心的《检验报告》（报告书编号：SY22WT0054），于当日送达到当事人。在规定的时间内，当事人没有向检验单位提出复检。根据《兽药管理条例》第四十七条第一款第二项""有下列情形之一的，为假兽药：（二兽药所含成分的种类、名称与兽药国家标准不符合的”之规定当事人经营的鲁约为假鲁约。2023年1月3日，经本机关负责人批准，对大连彩泓贸易有限公可庄河分公司涉经营假兽约进行立豆案调查。通过对该药店进行现场检查、询问，当事人经营的被抽检批次的兽药已经全部销售。现克/袋，抽检了3袋，销售了17袋，售价10.00元/袋，实现销售收入170.00元。目前，该案事实已查清。"
处罚依据,《兽药管理条例》、《大连市农业行政处罚裁量基准》
处罚类别,没收违法所得、没收非法财物，罚款
处罚内容,1.没收违法所得0.017000万元：2.处货值（已售出和未售出）3倍罚款0.051000万元
罚款金额（万元）,0.0510.017
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-01-12
处罚有效期,2024-01-12
公示截止期,2024-01-12
处罚机关,庄河市农业农村局
