组织名称,大连市普三店区清华园幼儿园
统一社会信用代码,52210282MJ3063081Y
行政处罚决定文书号,普人社监罚决字【[2023】008号
法人代表人,徐晓华
违法行为类型,《劳动保障监察条例》第六条
违法事实,我局2022年11月24日受理劳动者对该单位存在违反劳动保障法律、法规可题的投诉。经立案调查发现，该单位存任拖久劳动者土嘉琦2022年月至2022年8月工资3950元的违法行为。上述事实，有以下证据证实：调查询问笔录、欠新名单等针对上述违法行为，依据《中华人民共和国劳动法》第及十五条的规定，我局于2023年1月3日下达了大莲市普兰店区人力资源和社会保障局劳动保障监察限期整改指令书》（普人社监令字[2208120078]号），该单位在规定的时间内未按要求进行改正。
处罚依据,《劳动保障监察条例》第三十条第一款第（三）项《大连市人力资源和社会保障行政处罚裁量标准》第了7条
处罚类别,罚款
处罚内容,罚款20000元
罚款金额（万元）,2--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2023-02-27
处罚有效期,2099-12-31
公示截止期,2024-02-27
处罚机关,大连市普兰店区人力资源和社会保障局
