组织名称,大连沙河口新生路恩杰诊所有限公司
统一社会信用代码,91210204MA0UGUDY46
行政处罚决定文书号,沙卫传D罚【20221第002号
法人代表人,戴美令
违法行为类型,"违反了《中华人民共和国传染病防治法》第五十二条第二款""医疗机构应当实行专丙预检、分诊制度：对传丙丙人、疑以传丙丙人、，应当引导至相对隔高的分诊点进行秘诊。医疗机构不备相应救治能力的，应当将惠者及基病丙历记录复印件一并转至具备相应救治能力的医疗机构。具体力法由国务院卫生行政部门规定。“的规定"
违法事实,大连沙河口区新生路恩杰诊所有限公司处于开诊状态，诊所未设预检分诊台，预检分诊处监控设备无法止常便用，无预检分诊人员在，未落实传丙预检、分诊制度。
处罚依据,依据《中华人民共和国传染丙防治法》第六十九条第一项“医疗机构违反本法规定，有下列情形之一的，由县级以上人民政府卫生行政部门责令改正，通报批评，给予警告：造成传染病传播、流行或者其他产重后果的，对负有责任的主管人员和其他直接责任人员，依法给予降级、撤职、开除的处分，并可以依法吊销有关责任人员的热业证书：构成犯罪的，依法追究刑事责任：（一未按照韧定承担本单位的传染丙预防，控制工作、医院感染控制任务和责任区域内的传染丙预防工作的：“的规定。
处罚类别,警告
处罚内容,警告
罚款金额（万元）,
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-06-10
处罚有效期,2023-06-10
公示截止期,2023-06-10
处罚机关,沙河口区卫生健康局
