组织名称,大连铭图商品混凝士有限公司
统一社会信用代码,91210212MA10ECTL4VW
行政处罚决定文书号,2023020001
法人代表人,张春明
违法行为类型,《中华人民共和国水污染防治法》第二十二条“向水体排放污染物的企业事业单和其他生产经营者，应当按照法律、行政法规和国务院环境保护主管部阶的规定设置排污口：
违法事实,经调查，大连铭图商品混凝士有限公司混疑士搅拌站现场存在生产设备和料堆，正在进行场地清扫，有明显生产迹。有罐车清洗水通过场区东南侧私自设置的排放口排放到场外水塘，生产期间日用水量约300公斤。根据检测报告》中科环检（2022第0888号，上游水塘悬浮物浓度37mg/L，超过辽宁省（污水综合排放标准》DB21/1627-2008规定的直排标准20mg/L。
处罚依据,"《中华人民共和国水污梁防治法》第八十四条第二款""除前款规定外，违反法律、行政法规和国务院环境保护主管部阶的规定设置排污口的，由县级以上地方人民政府环境保护主管部阳门责令限期拆除，处二万元以上十万元以下的罚款：逾期不拆除的，强制拆除，所需费用由违法者承担，处十万元以上五十万元以下的罚款：情节产严重的，可以责令停产整治。“"
处罚类别,罚款
处罚内容,罚款人民币参万元整（￥30000）#
罚款金额（万元）,E--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-02-08
处罚有效期,2099-12-31
公示截止期,2024-02-08
处罚机关,大连市生态环境局
