组织名称,大连途达敬恩堂商贸有限公司
统一社会信用代码,91210213MA0YH2241F
行政处罚决定文书号,大金卫医罚【2022】56号
法人代表人,周立荣
违法行为类型,《中华人民共和国基本医疗卫生与健康促进法》第三十八条第一款
违法事实,你单位的法定代表人周立荣在未取得《医疗机构执业许可证》、《医师资格证书》及（医师执业证书的情况下，于2022年12月10日，擅自在经营场所（住所内为刘某东（该惠者当日死亡）开展针灸治疗活动，未查实有违法所得，存在非法行医的行为，违反了《中华人民共和国基本医疗卫生与健康促进法》第三十条第一款，依据《中华人民共和国基本医疗卫生与健康促进法》第九十九条第一款，应予处罚，建设案调查。
处罚依据,《中华人民共和国基本医疗卫生与健康促进法》第九十九条第一款
处罚类别,"其他,罚款"
处罚内容,你单位的法定代表人周立荣在未取得《医疗机构执业许可证》、《医师资格证书》及《医师执业证书》的情况下，于2022年12月10日，擅自在经营场所（住所）内为刘桌乐（该惠者当日死亡开展针治活动，未查实有违法所得，存任非法行医的行为，违反了广《中华人民供和国基本医疗卫生与健康促进法》第一十》条第一款，依据《中华人民共和国基本医疗卫生与健康促进法》第九十九条第一款，给予你（单位）：罚款人民币伍万整的的行政处罚。
罚款金额（万元）,6
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-03-10
处罚有效期,2099-12-31
公示截止期,2024-03-10
处罚机关,大连金普新区卫生健康局
