组织名称,大连宏毅货运代理有限公司
统一社会信用代码,91210204MA0UF2FH6X
行政处罚决定文书号,大税三稽罚【2022】36号
法人代表人,杨红艳
违法行为类型,发票违法
违法事实,根据推送案源的相关要求，我局对你单位进行检查。我局在注册登记地址和生产经营地址未能找到你单位，经公告送达相关税务文书，你单位至今失联，属于走逃失联企业。通过你单位开户哈尔滨银行股份有限公司大连中山支行（账号：1291014098773110、1291014098813435），及相关企业、个人的银行账户资料分析，发现你单位资金往来情况异常，存在虚开增值税专用发票情况。上述违法事实，主要有以下证据证明：《失联证明》《相关征管资料》《银行资金流水》
处罚依据,"根据《中华人民共和国发票管理力法》第二十二条第二款第（一】项""任何单位和个人不得有下列虚开发票行为：（一为他人、为自已开具与实际经营业务情况不符的发票”、第三十七条第一款""违反本力法第二十二条第二款的规定虚开发票的，由税务机关没收违法所得：虚开金额在1万元以下的，可以并处5万元以下的罚款：虚升金额超过方元的，并处5方元以上50方元以下的罚款；构成犯靠的，依法追究刑事责任”、《国家税务总局辽宁省税务局国家税务总局吉林省税务局国家税务总局黑龙江省税务局国家税务总局大连市税务局关于发布东北区域税务行政处罚裁量基准>的公告》（2022年第1号）“六、违反发票及票证管理规定46.虚开发票（四）虚开金额超过100万元，或者有其他严重情节的处50万元罚款“的规定，"
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,50--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2022-12-05
处罚有效期,2022-12-26
公示截止期,2023-12-05
处罚机关,国家税务总局大连市税务局第三稽查局
