组织名称,大连金普新区星来美汇医疗美容诊所有限公司
统一社会信用代码,91210213MA0XUQ5T0X
行政处罚决定文书号,大金普市监网处【2023】01号
法人代表人,高颖
违法行为类型,大连金普新区星莱美汇医疗美容诊所有限公司发布违背社会良好风尚的广告案
违法事实,当事人是大连恒春园生物科技有限公司投资的法人独资公司，微信公众号“星莱美汇”是当事人在2018年以大连恒春园生物科技有限公司名义申请登记并负责管理的。当事人于2018年11月10日，在其微信公众号“星莱美汇”发布标题为“玻尿酸一医疗界的把子”的医疗美容广告。该广告是由当事人的工作人员设计、制作、发布的，没有广告费。2023年2月16日当事人的受委托人提交的其微信公众号面截图显示，当事人已经将涉案广告删除。
处罚依据,依据《中华人民共和国广告法》第四十六条以及《中华人民共和国广告法》第九条第（七）项之规定。
处罚类别,罚款
处罚内容,责令当事人停止发布该违法厂告，在相应范围内消除影响，并处罚款5000元。
罚款金额（万元）,0.5--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2023-03-20
处罚有效期,2099-12-31
公示截止期,2024-03-20
处罚机关,大连金普新区市场监督管理局
