组织名称,大连金英新型特种玻璃制品有限公司
统一社会信用代码,91210211242398883Y
行政处罚决定文书号,甘市监执一处罚字【2023]1号
法人代表人,卢举英
违法行为类型,违反了《中华人民共和国产品质量法》第二十六条第（一】项：“生产者应当对其生产的产品质量负责。产品质量应当符合下列要求：（一1不存在危及人身、财产安全的不合理的危险，有保障人体健康和人身、财产安全的国家标准、行业标准的，应当符合该标准：“的规定。当事人上述行为属于生产不符合国家标准的产品的违法行为
违法事实,经查，该公司生产该批次不合格建筑用钢化玻璃32块，规格是610*61024块500*9008块，共12.53平，售价为55元一平，检方抽走16块，余下16块封存于库房，故货值为689.15元，违法所得689.15元。
处罚依据,依据中华人民和国产品质量法》第四十九条“生产、销售不符台保障人体健康和人身、财产安全的国家标准、行业标准的产品的，责令停止生产、销售没收违法生产、销售的产品，并处违法生产、销售产品（包括已售出和未售出的产品，下同货值金额等值以上三倍以下的罚款；有违法所得的，并处没收违法所得；情节产重的，吊销营业执照；构成犯罪的，依法追究刑事责任。“的规定依法对当事人进行行政处罚，
处罚类别,"没收违法所得,罚款"
处罚内容,1、没收违法所得689.15元；2、罚款689.15元；罚没款合计1378.3元，上缴压库。
罚款金额（万元）,0.0689150.068915
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-03-29
处罚有效期,2023-03-29
公示截止期,2024-03-29
处罚机关,大连市白井子区市场监督管理局
