组织名称,大连林芝堂大药房
统一社会信用代码,91210212311473681F
行政处罚决定文书号,旅市监处罚【2022】91号
法人代表人,刘聪
违法行为类型,"大连林芝堂大药房以上违法行为涉违反了《中华人民共和国药品管理法》第九十八条第一款、第二款第（一项、第（七项""禁止生产（包配制，下同销售、便用假约、势约：有下列情形之一的，为势约：（一约品所含成份与国家药品标准规定的成份不符。（七其他不符合药品标准的药品。“的规定"
违法事实,大连林芝堂大药房2021年8月4日从大连德昌药业有限公司医药批发分公司购进批号为21040301的蜜远志，共购进0.5十克，已售完。经询可，该批蜜远志，购进价格0.152元/克，销售价格0.32元/克，货值金额共计160元，认定违法所得共计让60元。当事人的上述行为，构成销售不合格约品的违法行为。当事人的上述行为，构成销售不合格药品的违法行为。
处罚依据,"依据《中华人民共和国行政处罚法》第二十八条第一款""行政机关实施行政处罚时，应当责令当事人改止或者限期改正违法行为。“、《中华人民共和国约品管理法实施条例》第七十五条“约品经营企业、医疗机构未违反《约品管理法》和本条例的有关定，并有充分证据证明其不知道所销售或者使用的药品是假药势药的，应当没收其销售或者使用的假药、劣药和违法所得；但是，可以免除其他行政处罚”的规定"
处罚类别,没收违法所得
处罚内容,没收违法所得160元。
罚款金额（万元）,0.016
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2022-11-30
处罚有效期,2023-11-30
公示截止期,2025-11-30
处罚机关,大连市旅顺口区市场监管管理局
