组织名称,大连础明肉联有限公司
统一社会信用代码,912102817730480493
行政处罚决定文书号,凡应急罚[2022」2021号
法人代表人,马凤琴
违法行为类型,违反《工贸企业有限空间作业安全管理与监管暂行规定》第七条、第十九条第二项、第二十条和《安全生产违法行为处罚法》第五十三条
违法事实,2022年7月26日，瓦房店市应急管理局接到瓦房店市人民政府公文处理单《关于建议对大连础明肉联有限公可安全隐惠进行行政处罚的请示》，市领导批示应急局同农业农村局共同研究对大连础明肉联有限公司进行行政处罚。经辽宁省安委办检查，发现该公司存在如下行为：（1）未在有限空间作业场所设置明显的安全警示标志：（2未按规定对有限空间作业制定应急预案：（3未按规定对有限空间作业进行辨识。
处罚依据,依据《工贸企业有限空间作业安全管理与监暂行规定》第二十及条第一项、《工贸企业有限空间作业安全管理与监督暂行规定》第二十九条第二项、《工贸企业有限空间作业安全管理与监管暂行规定》第三十条第一项的规定
处罚类别,罚款
处罚内容,"给予处人民市肆万元（¥40,000.00罚款的行政处罚"
罚款金额（万元）,4--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2022-08-10
处罚有效期,2024-08-10
公示截止期,2023-08-10
处罚机关,凡房店市应急管理局
