组织名称,庄河市红琦酒厂
统一社会信用代码,91210283MA0P5BD772
行政处罚决定文书号,庄市监(青)处罚【2022]1号
法人代表人,张勇
违法行为类型,违反了《中华人民共和国商标法》第五十七条第一款第（二项，“有下列行为之一的，均属侵犯注册商标专用权：（二）未经商标注册人的许可，在同一种商品上使用与其注册商标近似的商标，或者在类似商品上使用与其注册商标相同或者近似的商标，容易导致混淆的；“的规定。
违法事实,"一重权局驳回“君中黄柏树""牌白酒商标注册申请后，主动将剩余未销售的4瓶500ml大瓶装“君中黄柏树“牌白酒销毁，并销毁全部未使用“君中黄柏树“牌白酒包装物料。并于2020年9月6日将庄河市红琦酒厂青堆经销处彻底停业不再经营。截止被查处之日止：庄河市红琦酒厂在2020年3月停止销售前，共计销售12瓶100ml小瓶装、2瓶500ml大瓶装“君中黄柏树”牌日酒，其中小瓶装每瓶售价7元，大瓶装每瓶售价35元，违法经营额共计154元。"
处罚依据,依据《中华人民共和国商标法》第六十条规定：“有本法第五十七条所列侵犯注册商标专用权行为之一，引起纠纷的，由当事人协商解决：不愿协商或者协商不成的，商标注册人或者利害关系人可以向人民法院起诉，也可以请求工商行政管理部门处理。工商行政管理部门处理时，认定侵权行为成立的，责令立即停止侵权行为，没收、销毁侵权商品和主要用于制造侵权商品、伪造注册商标标识的工具，违法经营额五万元以上的，可以处违法经营额五倍以下的罚款，没有违法经营额或者违法经营额不足五万元的，可以处二十五万元以下的罚款。对五年内实施两次以上商标侵权行为或者有其他严重情节的，应当从重处罚。销售不知道是侵犯注册商标专用权的商品，能证明该商品是自己合法取得并说明提供者的由工商行政管理部阳门责令停止销售。“之规定。
处罚类别,罚款
处罚内容,1.责令改正违法行为；2.罚款1000元，上缴国库。
罚款金额（万元）,0.1--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2022-12-30
处罚有效期,2024-12-30
公示截止期,2023-12-30
处罚机关,庄河市市场监督管理局
