组织名称,大连船用推进器有限公司
统一社会信用代码,912102001184759685
行政处罚决定文书号,(大]应急罚[2023] S6001-1号
法人代表人,金丰铁
违法行为类型,《中华人民共和国安全生产法》第一百一十四条：“发生生产安全事故，对负有责任的生产经营单位除要求其依法承担相应的赔偿等责任外，由应急管理部门依照下列规定处以罚款：（一1发生一般事故的，处三十万元以上一百万元以下的罚款
违法事实,"械工宋俊，在冒口机切割螺旋浆冒口时被冒口机挤伤，经120医护人员送往医院后抢救无效死亡。按照（大连市人民政府关于大连船用推进器有限公司""11·12“一般事故调查报告的批复》（大政【20235号，大船推进器公可落实企业主体责任不到位，且相关安全操作规程的制定不规范，隐惠排查治理工作不细致，未能及时排查事故现场的安全隐惠。车间安全检查不全面，未能检查出并及时消除涉事设备的隐惠问题，对事故发生负有责任。"
处罚依据,《中华人民共和国安全生产法》第一百一十四条：“发生生产安全事故，对负有责任的生产经营单位除要求其依法承担相应的赔偿等责任外，由应急管理部阳门依照下列规是处以罚款：（一发生一般事故的，处三十方元以上一百万元以下的罚款”：《安全生产行政处罚自由裁量适用规则（试行）》（原国家安全生产监算管理总局令第31号第十四条：“当事人有下列情形之一的，应当依法从轻处罚：（二主动消除或者减轻安全生产违法行为危害后果的”：《生产安全事故报告和调查处理条例》（国务院令第493号）第三十二条第二款：“有关机关应当按人民政府的批复，依法律、行政法规规定的权限和程序，对事故发生单立和有关人员进行行政处罚，对负有事故责任的国家工作人员进行处分
处罚类别,罚款
处罚内容,罚款人民币肆拾万元整（400，000.00元）
罚款金额（万元）,40--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-03-02
处罚有效期,2099-12-31
公示截止期,2024-03-02
处罚机关,大连市应急管理局
