组织名称,大连依山离业发展有限公司
统一社会信用代码,91210281311444354V
行政处罚决定文书号,2022040027
法人代表人,潘长成
违法行为类型,《中华人民共和国固体废物污染环境防治法》六十五条第二款：从事蓄离规模养殖应当及时收集、贮存、利用或者处置养殖过程中产生的蓄离粪污等固体废物避免造成环境污染
违法事实,2022年8月8日至8月11日瓦房店生态环境分局执法人员对位于瓦房店市赵屯乡新村的大连依山离业发展有限公司进行现场检查。你公司主要从事肉鸡养殖建有鸡舍4栋，存栏肉鸡4.5万羽，年出栏27万羽。配套建设30米*20米防渗防雨粪房一座、直径12米深6米防渗封闭水池一个、容量70吨的生物肥发酵罐一个现场检查时发现在你公司生物有机肥发酵罐东侧和南侧有2个露天粪场，东侧露天粪场堆放的粪污外流入树林，自测外流距离超过15米：南侧露天粪场四周建有围堰，未见粪污外流
处罚依据,《中华人民和国固体废物污染环境防治法》第一百零七条：从事童离规模殖未及时收集、贮存、利用或者处置养殖过程中产生的蓄离粪污等固体废物的，由生环境主管部阶责令改止，可以处十方元以下的罚款：情节严重的，报经有批准权的人民政府批准，责令停业或者关闭。
处罚类别,罚款
处罚内容,罚款人民币壹万元整￥10000#
罚款金额（万元）,1-
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-15
处罚有效期,2099-12-31
公示截止期,2023-11-15
处罚机关,大连市生态环境局
