组织名称,大连长兴环境服务有限公司
统一社会信用代码,91210244MA0YNGL94W
行政处罚决定文书号,2022040025
法人代表人,刘明胜
违法行为类型,事业单和基他生产经营者应当按照国家有关规定和监测韧范，对所排放的水污物自行监测，并保存原始监测记录。重点排污单还应当安装水污物排放目动监测设备，与环境保护主管部阶的监控设备联网，并保证监测设备正常运行。具体力法由国务院环境保护主管部阶规定。
违法事实,2022年8月29日至8月30日，我局热法人员对位于大连长兴岛经济技术开发区西部石化区的大连长兴环境服务有限公司在线监控设施运行情况进行检查发现，你单立在污水总排口已按照规定安装水污物排放自动监测设备，并已与大连市生态环境局的监控设备联网，但检香时发现你单位未将用于测定出水水质PH的PH自动监控设备放置在出水液面以下，只是将其露天放置在监控设备房地面上，直接与空气接触，未保证监测设备正常运行，直仪表显示读数为了.6。
处罚依据,《中华人民共和国水污梁防治法》第十二条第二项：违反本法规定，有下列行为之一的，由县级以上人民政府环境保护主管部门责令限期改正，处二万元以上二十万元以下的罚款逾期不改正的，责令停产整治：（二未按照规定安装水污染物排放自动监测设备，未按照规定与环境保护主管部门的监控设备联网，或者未保证监测设备正常运行的
处罚类别,罚款
处罚内容,罚款人民币伍万元整?50000）#
罚款金额（万元）,5--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2022-11-10
处罚有效期,2099-12-31
公示截止期,2023-11-10
处罚机关,大连市生态环境局
