组织名称,大连立山机械制造有限公司
统一社会信用代码,91210281669218079U
行政处罚决定文书号,大税一稽罚【2022】46号
法人代表人,王春禄
违法行为类型,发票违法
违法事实,"根据国家税务总局营口市税务局第一稽查局转来我局的（协查函》（营税一稽协【2022】34号】及《已证实虚开通知单》，营口晟辉物资有限公司于2015年6月、8月、10月、11月向你单位开具已证实虚开的增值税专用发票8份，发票代码为2100151160、发票号码分别为00649051、00649052、00540188、0056683000566831、00578684、00578685、00578692，货物名称为""废钢”、“生铁”，发票金额合计564,309.4元，税额合计95,932.60元，价税合计660,242.00元。协查函显示，营口晟辉物资有限公司为非正常状态。据你单位会计那臻介绍，你单位取得上述发票的情况如下：你单位总经理王春禄通过营口晟辉物资有限公司业务员（无法提供姓名和联系方式）购买废钢、生铁等货物，已签订合同，通过现金支付货款，购买的废钢、生铁等货物用于生产保持架铸件，并已销售至鞍山新兴轴承制造有限公司等单位，运费由营口晟辉物资有限公司承担，发票是直接送达你单位。你单位2022年10月发现其2015年账演丢失，根据检查人员在“防伪税控系统""查询结果，你单位凭上述发票，于2015年6月认证抵扣增值税进项税额2增值税进项税额21,800.68元，2015年11月抵扣增值税进项税额30,536.07元，未作进项税额转出，共计多抵扣增值税进项税额95,932.60元。"
处罚依据,你单位未按规定保管2015年账簿资料的行为，根据《中华人民共和国税收征收管理法》第二十四条第一款和《中华人民共和国税收征管法实施细则》第二十九第二款的规定，属于违法行为。根据《中华人民共和国税收征收管理法》第六十条第（二）项的规定，应当予以处罚。在检查过程中，检查人员向你单位送达了《责令限期改正通知书》，你单位在限期内未能改正，根据《东北区域税务行政税务总局黑龙江省税务局国家税务总局大连市税务局公告2022年第1号）第九条第二款第(三)项的规定，对你单位未按照规定保管账簿、记账凭证和有关资料的行为
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,0.2
没收违法所得、没收非法财物的金额（万元）,--
暂扣或吊销证照名称及编号,--
处罚决定日期,2022-11-21
处罚有效期,2022-12-12
公示截止期,2023-11-21
处罚机关,国家税务总局大连市税务局第一稽查局
