组织名称,大连大兴中医医院有限公司
统一社会信用代码,91210204MA0YW6EY6Y
行政处罚决定文书号,沙卫医罚【2022】014号
法人代表人,高仲英
违法行为类型,违反了《医疗技术临床应用管理力法》第十七条“医疗机构开展医疗技术临床应用应当具有符合要求的诊疗科自、专业技术人员、相应的设施和质量控制体察，并遵守相关技术临床应用管理规范”、《消化内镜诊疗技术临床应用管理规范(219年版】》“医疗机构基本要求：消化内科床位不少于30张“的规定。
违法事实,该单位核准床位20张，不符合消化内镜诊疗技术临床应用管理规范》的医疗机构基本要求，自2019年12月13日至2022年6月共开展消化内镜诊疗技术约2000人次取4000多例样本，共收费250000元，其中2022年5月1日以后共开展消化内镜诊疗技术约65人次取150例样本，共收费30000元。
处罚依据,依据《医疗技术临床应用管理力法》第四十三条
处罚类别,没收违法所得、没收非法财物，罚款，警告
处罚内容,警告、罚款、没收违法得行
罚款金额（万元）,E
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2022-11-11
处罚有效期,2023-11-11
公示截止期,2023-11-11
处罚机关,沙河口区卫生健康局
