组织名称,鑫兴陈氏集团有限公司
统一社会信用代码,9121020073274913X6
行政处罚决定文书号,庄自然资国土规监罚字【[2022】1-009号
法人代表人,陈军
违法行为类型,违反广《中华人民共和国城多规划法》第四十三条，依据《中华人民共和国城多规划法》第六十四条
违法事实,"鑫兴陈氏集团有限公司在庄河市城关街道龙王庙村建设的德贤华府一期建设项自于2020年8月18日取得建设工程规划许可证。经检查，发现你单位未按建设工程规划许可证的规定进行建设,在规划审批内容外多建设一处警卫用房26m"
处罚依据,违反了中华人民共和国城乡规划法》第四十三条，依据中华人民共和国城乡规划法》第六十四条
处罚类别,罚款
处罚内容,1、责令限期30日内采取改正措施消除对规划实施的影响。2、处警卫用房建设程造价5%罚款警卫用房造价29989.7元×5%合计罚款：壹什肆坎搭坎元肆角五分（1499.49元）。
罚款金额（万元）,0.14--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2022-11-30
处罚有效期,2023-11-30
公示截止期,2023-11-30
处罚机关,庄河市自然资源局
