组织名称,大连钜博精密模具有限公司
统一社会信用代码,912102137260137599
行政处罚决定文书号,大税一稽罚【2022】55号
法人代表人,矫德君
违法行为类型,发票违法
违法事实,"根据国家税务总局大连市税务局第三稽查局发来的《协查函》（大税三稽协【2022】263号）和《已证实虚开通知单》，你单位取得了大连津亿达钢铁贸易有限公司2015年4月-2016年4月虚开的增值税专用发票19份，发票代码2102152130，发票号码：00233582一00233588，发票代码2102151130，发票号码：00642573-00642575，发票代码2102151130，发票号码：01626383-01626387：发票代码2012154130，发票号码：00464020-00464022，发票代码：2102154130，发票号码: 00464023，货物名称""圆钢、钢板，发票金额1709401.73元，税额290598.27元，价税合计2000000.00元。协查函中显示，大连津亿达钢铁贸易有限公司已为非正常状态。据你单位经理牟海民陈述，你单位在2015-2016年已将公司承包出去，所有经营业务由对方负责，后由于对方经营不善，所有员工解散了，在交接材料时，只留下一部分记账凭证，账薄、合同、财务报表和纳税申报表等资料都没有交接。经过询问当时的承包方，已无法提供这些资料。在检查过程中，检查人员已于2021年11月22日对你单位未按规定保管账薄事项送达了《责令限期改正通知书》（大税一稽限改【2022】22号】：你单位在限期内未改正，你单位经理在笔录中明确表示无法提供账薄资料。"
处罚依据,你单位未按规定保管账簿、记账凭证和有关资料的行为，根据《中华人民共和国税收征收管理法》第二十四条第一款和《中华人民共和国税收征管法实施细则》第二十九第二款的定，属于违法行为。根据（中华人民共和国税收征收管理法》第六十条第（二）项的规定，应当予以处罚。根据《国家税务总局辽宁省税务局国家税务总局吉林省税务局国家税务总局黑龙江省税务局国家税务总局大连市税务局关于发布（东北区域税务行政处罚裁量基准）的公告》（国家税务总局辽宁省税务局国家税务总局吉林省税务局国家税务总局黑龙江省税务局国家税务总局大连市税务局公告2022年第1号）第九条第（三）项的规定
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,0.2
没收违法所得、没收非法财物的金额（万元）,--
暂扣或吊销证照名称及编号,--
处罚决定日期,2022-11-28
处罚有效期,2022-12-14
公示截止期,2023-11-28
处罚机关,国家税务总局大连市税务局第一稽查局
