组织名称,瓦房店广晟工程塑料制品有限公司
统一社会信用代码,912102817607506050
行政处罚决定文书号,大税一稽罚[2022] 56号
法人代表人,左美娜
违法行为类型,发票违法
违法事实,"根据国家税务总局瓦房店市税务局推送案源信息，你单位接收天津市锦鸿顺塑料制品销售有限公司2019年7月23日虚开的增值税专用发票1组，发票代码1200191130，发票号码04446168，不含税金额86,283.19元，税额11,216.81元，价税合计97,500.00元，货物名称：“*化学合成材料*聚内烯”。你单位无货交易取得虚开增值税专用发票。经你单位法定代表人左美娜和业务经理马立民陈述，具体业务是马立民联系的，2019年马立民通过微信群里一个叫""笑敬过往""的人向天津市锦鸿顺塑料制品销售有限公司采购了上述发票，并通过微信转账向“笑敬过往支付了5,825.00元的买票费用,未实际发生业务。国家税务总局瓦房店市税务局岗店税务所2020年7月向你单位下达《税务事项通知书》（瓦税岗通【2020】38号），告知你单位上述发票被认定为“异常扣税凭证，你单位收到通知后转出2020年7月进项税额11,216.81元，并于2021年6月补缴了增值税11,216.81元，城市维护建设税785.18元，以及滞纳金1,860.31元，上述发票对应的成本已于2019年结转主营业务成本61,088.50元，2020年结转主营业务成本25,194.69元。经核实：你单位于2019年7月将上述发票认证抵扣，并于2020年7月将上述发票的进项税额自行转出，2021年6月补缴了增值税11,216.81元、城市维护建设税785.18元、滞纳金1,860.31元。你单位将补缴的增值税11,216.81元作为营业外支出在2020年企业所得税前扣除，将补缴的滞纳金1,860.31元作为营业外支出在2021年企业所得税前扣除。你单位以支付开票费的方式购买增值税专用发票，已将上述增值税进项税额自行转出并缴纳税款，造成你单位少缴增值税滞纳金城市维护建设税带纳金，企业所得税前未作纳税调整，造成你单位企业所得税税前多扣除2019年主营业务成本61,088.50元、2020年主营业务成本25,194.69元营业外支出11,216.81元元,2011年营业外支出1,860.31元。"
处罚依据,"你单位2019年7月无真实货物交易、以支付开票费方式取得盖有天津市锦鸿顺塑料制品销售有限公司专用章的增值税专用发票（发票代码1200191130，发票号码04446168）的行为，根据《中华人民共和国增值税暂行条例》第九条“纳税人购进货物、劳务、服务、无形资产、不动产，取得的增值税扣税凭证不符合法律、扣”、《国家税务总局关于纳税人取得虚开的增值税专用发票处理问题的通知》（国税发【1997】134号第一条""受票方利用他人虚开的专用发票,向税务机关申报抵扣税款进行偷税的,应当依照《中华人民共和国税收征收管理法》及有关规》第六十三条第一款“纳税人伪造、变造、隐匿、擅自销毁账簿、记账凭证,或者在账簿上多列支出或者不列、少列收入,或者经税务机关通知申报而拒不申报或者进行虚假的纳税申报,不缴或者少缴应纳税款的,是偷税。对纳税人偷税的，由税务机关追缴其不缴或者少缴的税款、带纳金，并处不缴或者少缴的税款百分之五十以上五倍以下的罚款：构成犯罪的，依法追究刑事责任“的规定，属于偷税行为，应当予以处罚。因你单位五年内首次因偷税被税务机关处罚，并能够配合我局检查，根据《国家税务总局辽宁省税务局国家税务总局吉林省税务局国家税务总局黑龙江省税务局国家税务总局大连市税务局关于发布（东北区域税林省税务局国家税务总局黑龙江省税务局国家税务总局大连市税务局公告2022年第1号）第十七条第（一）项""五年内首次因偷税被税务机关处罚，并能够配合税务机关检查的，处不缴或者少缴的税款百分之五十的罚款”"
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,0.659849
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2022-11-28
处罚有效期,2022-12-15
公示截止期,2023-11-28
处罚机关,国家税务总局大连市税务局第一稽查局
