组织名称,大连三明聚花园酒店有限公司
统一社会信用代码,91210212728856047H
行政处罚决定文书号,旅市监处罚【2022】68号
法人代表人,孙丹
违法行为类型,违反了《中华人民共和国食品安全法》第三十四条第一款第（三）项：“禁止生产经营下列食品、食品添加剂、食品相关产品：（三）用超过保质期的食品原料食品添加剂生产的食品、食品添加剂。”
违法事实,2022年10月8日我局执法人员在大连三明聚花园酒店有限公司进行现场检查，发现该酒店后厨操作台上摆放每袋100克的棒捶岛辣酱4袋(其中2袋已开袋使用）生产日期为2021年3月18日，保质期12个月：每瓶425克的味好美细胡椒粉2瓶（已开封使用），生产日期为2018年12月7日，保质期36个月：每瓶510克的四季宝桑滑花生酱1瓶（已开封使用），生产日期为2021年3月9日，保质期15个月。以上食品原料均已超过有效期限。执法人员现场下达了旅市监强制[2022]157号实施行政强制措施决定书，对上述产品进行扣押。经询问，当事人表示是今年三月份才接管公司的后厨管理工作，该酒店后厨操作台上摆放每袋100克的棒捶岛辣酱4袋其中2袋已开袋便用1，生产日期为2021年3月18日，保质期12个月：每瓶425克的味好美细胡椒粉2瓶（已开封使用），生产日期为2018年12月7日，保质期36个月：每瓶510克的四季宝桑滑花生酱1瓶（已开封使用），生产日期为2021年3月9日，保质期15个月。这批过期食品原料是很久以前采购的，棒捶岛辣酱每袋065元，4袋价格一共2.60元。味好美胡椒粉每瓶7.00元，2瓶一共14.00元；花生酱每瓶3.50元，这3种食品原料当时购买价格一共是20.10元。其中4袋棒捶岛辣酱是提供给员工免费食用的，味好美胡椒粉和花生酱是用来腌制炭烧鱿鱼提供给就餐客人食用的，从今年3月份至今用过2次腌制鱿鱼，后因味道一般就再也没有使用过。炭烧鱿鱼每盘售价48.00元，销售了2盘，一共96.00元，认定违法所得96元。即货值金额为116.10元。当事人上述行为构成使用超过保质期的食品原料加工食品的违法行为。
处罚依据,依据《中华人民共和国行政处罚法》第二十八条第一款：“行政机关实施行政处罚时，应当责令当事人改正或者限期改正违法行为。“及《中华人民共和国食品安全法》第一白二十四条第一款第（二项：“违反本法规定，有下列情形之一的，尚不构成犯罪的，由县级以上人民政府食品药品监督管理部门没收违法所得和违法生产经营的工具、设备、原料等物品：违法生产经营的食品、食品添加剂货值金额不足一万元的，并处五万元以上十万元以下罚款：货值金额一万元以上的，并处货值金额十倍以上二十倍以下罚款：情节严重的，吊销许可证：（二）用超过保质期的食品原料、食品添加剂生产食品、食品添加剂，或者经营上迷食品、食品添加剂“的规定
处罚类别,"没收违法所得、没收非法财物,罚款"
处罚内容,25克的味好美细胡椒粉2瓶（已开封使用）；每瓶510克的四季宝桑滑花生酱1瓶（已开封使用）。2、罚款人民币5000元，没收违法所得96元，罚没款合计5096元，上缴国库。
罚款金额（万元）,0.50.02121
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2022-11-22
处罚有效期,2023-11-22
公示截止期,2025-11-22
处罚机关,大连市旅顺口区市场监督管理局
