组织名称,大连隆安圣帝实业发展有限公司
统一社会信用代码,91210200341191773F
行政处罚决定文书号,(0204)综执处决字[2023第03-002号
法人代表人,南汉唐
违法行为类型,责令6个月内补力建设工程规划许可证，并处人民币陆搭陆万案什伍佰捌搭伍元肆角伍分罚款
违法事实,2022年4月13日，大连市甘井子区城市管理综合行政执法局辛寨子执法大队接到上级交力案件，反映大连隆安圣帝实业发展有限公可在大连市日井子区辛暴子街道子山村新水泥路了0号建设4处建筑物，存在未取得建设工程规划许可证进行违法建设的嫌缇。
处罚依据,《中华人民共和国城乡规划法》第四十条第一款及第六十四条、住建部关于规范城乡规划行政处罚裁量权的指导意见》（建法[2012]99号
处罚类别,"其他,罚款"
处罚内容,责令6个月内补力建设工程规划许可证，并处人民币陆搭陆万染仟伍佰捌搭伍元肆角伍分罚款
罚款金额（万元）,66.758545
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-02-24
处罚有效期,2099-12-31
公示截止期,2024-02-24
处罚机关,大连市甘井子区城市管理综合行政执法局
