组织名称,大连市金州区先进渤海同仁大药房
统一社会信用代码,91210213341073267X
行政处罚决定文书号,大金普市监综执罚【2022】216号
法人代表人,张叙宏
违法行为类型,使用劣药的违法行为违反了《药品管理法》第九十八条第一款：第三款第（七）项的规定
违法事实,2022年10月24日，我局接到大连市市场监管局（案件交办函》（收文编号：大市监药稽函2022137号】，该案件为大连市市场监管局转交的大连市金州区先进渤海同仁大药房涉销售势药“酒女贞子”（安国市荣华本草中药材有限公司生产，批号C02120101，该批药品经大连市药品检验检测院检验，含量测定不符合规定，定性为劣药，其销售流向涉及大连市金州区先进渤海同仁大药房：司日，我局接到大连市市场监管局《案件交力函》（收文编号：大市监药稽函［20221144号，该案件为大连市市场监管局转交的大连市金州区先进渤海同仁大药房涉嫌销售势药蜜元志”（河北明珠药业有限公司生产，批号21040301，符合规定，定性为势药，基销售流向也涉及大连市金州区先进渤海同仁大药房
处罚依据,依据《约品管理法实施条例》第七十五条，给予以下行政处罚：没收违法所得案搭陆元（/6.00元，免于其他行政处罚。
处罚类别,没收违法所得
处罚内容,经营劣药
罚款金额（万元）,0.0076
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-22
处罚有效期,2099-12-31
公示截止期,2023-11-22
处罚机关,大连金普新区市场监管管理局
