组织名称,大连馥华食品有限公司
统一社会信用代码,91210283760782623E
行政处罚决定文书号,2023050006
法人代表人,万淑芹
违法行为类型,《中华人民共和国环境保护法第四十二条第四款：“严禁通过暗管、渗井、漆坑、灌注或者寞、伪造监测数据，或者不正常运行防治污染设施等逃避监管的方式违法排放污染物。”、《中华人民共和国水污染防治法》第三十九条：“禁止利用渗井、渗坑、裂隙、溶洞，私设暗管，算改、伪造监测数据，或者不正常运行水污染防治设施等逃避监管的方式排放水污染物。”
违法事实,2023年2月13日我局执法人员宋在波、翰世伟检查发现，位于辽宁省庄河市吴炉镇小孤山村大丁屯148号的大连馥华食品有限公司正常生产中，该公司主要从事水产品冷冻加工，日加工鳕鱼成品5吨左右。有一套设计日处理能力为300吨的污水治理设施正在运行，加药系统的药剂泵、搅拌器未运行，处理废水未经过滤系统过滤，直接排放。排污管道于距该公司厂区南侧约600米处断裂，部分生产废水自该断裂处流入自然沟渠，经沟渠排入英那河。
处罚依据,《中华人民共和国环境保护法》第六十三条第三项：“企业事业单位和其他生产经营者有下列行为之一，尚不构成犯罪的，除依照有关法律法规规定予以处罚外由县级以上人民政府环境保护主管部门或者其他有关部门将案件移送公安机关，对其直接负责的主管人员和其他直接责任人员，处十日以上十五日以下拘留：情节较轻的，处五日以上十日以下拘留：（三）通过暗管、渗井、渗坑、灌注或者算故、伪造监测数据，或者不正常运行防治污染设施等逃避监管的方式违法排放污染物的。”、《中华人民共和国水污染防治法》第八十三条第三项：“违反本法规定，有下列行为之一的，由县级以上人民政府环境保护主管部门责令改正或者责令限制生产、停产整治，并处十万元以上一百万元以下的罚款：情节严重的，报经有批准权的人民政府批准，责令停业、关闭：（三）利用井、渗坑裂隙、溶洞，私设暗管，算改、伪造监测数据，或者不正常运行水污染防治设施等逃避监管的方式排放水污染物的。”
处罚类别,罚款
处罚内容,罚款人民币壹拾万元整（￥100000)#
罚款金额（万元）,10--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2023-04-12
处罚有效期,2099-12-31
公示截止期,2024-04-12
处罚机关,大连市生态环境局
