组织名称,大连天涛北方生物科技有限公司
统一社会信用代码,91210211MA0XTRHG83
行政处罚决定文书号,甘市监营处罚字【2022】0003号
法人代表人,郭汝茂
违法行为类型,违反了《中华人民共和国公司法》第二百一十三条：“利用公司名义从事危害国家安全、社会公共利益的严重违法行为的，吊销营业执”的规定，属利用公司名义从事危害国家安全、社会公共利益的产严重违法行为。
违法事实,经查，2018年6月1日，自然人郭汝茂与宋新杰共同投资设立了大连天涛北方生物科技有限公司，其中郭汝茂认缴出资102万元人民币，宋新杰认缴出资98万元人民币：经营场所由郭汝茂提供，公司成立后，营业执、公章不在郭汝茂掌控，而是由王云霞掌控，没有从事正常的经营活动：注册的经营场所现在是郭汝茂的个人住所，公司没有在注册地开展经营活动：该公司从成至今从未报企业年报，已续4年被甘井子区市场监管理局列入异常名录。根据大莲市普兰店区人民法院《司法建议书》：“王云霞以大莲天涛北方生物科技有限公司名义在全国范围内从事集资诈骗活动......“该公司在全国范围内从事集资诈编活动。
处罚依据,辛国星重但由伴，：麦三十一旦一惠《国并丫市中”社会公共利益的严重违法行为的，吊销营业执照的规定，属利用公司名义从事危害国家安全、社会公共利益的严重违法行为。
处罚类别,暂扣或者吊销许可证、暂扣或者吊销执照
处罚内容,吊销营业执照
罚款金额（万元）,----
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,营业热照:91210211MA0XTRHG83
处罚决定日期,2022-12-01
处罚有效期,2022-12-01
公示截止期,2025-12-01
处罚机关,大连市甘井子区市场监管管理局
