组织名称,凡房店连城包装制品有限公司
统一社会信用代码,91210281726024933E
行政处罚决定文书号,瓦应急罚【2023】2003号
法人代表人,戚成坤
违法行为类型,凡房店连城包装制品有限公司未采取措施消除事故隐惠案
违法事实,2023年3月5日，瓦房店市应急管理局执法人员对瓦房店连城包装制品有限公司进行执法检查时，发现该单位有如下行为：（1）北侧厂房现场一包装机缺少接地线：（2西侧广房现场纸壳未堆放在专门位置且占用安全通道：（3 1) 区火器材配置点不定并缺少醒自存放标识：【4】厂区现场设备电缆线缺少防护目拖拉至地面。
处罚依据,以上事实违反了《中华人民共和国安全生产法》第四十条第二款：“生产经营单位应当建立健全并落实生产安全事故隐惠排查治理制度，采取技术、管理措施，及时发现并消除事故隐惠...…..”的规定，依据《中华人民共和国安全生产法》第一百零二条：“生产经营单位未采取措施消除事故隐惠患的，责令立即消除或者限期消除，处五万元以下的罚款.....”的规定
处罚类别,罚款
处罚内容,"处人民币壹万元（¥10,000.00罚款的行政处罚。"
罚款金额（万元）,1-
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2023-03-10
处罚有效期,2025-03-10
公示截止期,2024-03-10
处罚机关,瓦房店市应急管理局
