组织名称,大连远乐联合国际物流有限公司
统一社会信用代码,91210200665809162
行政处罚决定文书号,大税一稽罚[2023】3号
法人代表人,于清琳
违法行为类型,发票违法
违法事实,你单位未按规定保管2018年、2019年的账薄、记账凭证和有关资料，且在规定限期内你单位未能改正。相关证据详见证据自录》。
处罚依据,《中华人民共和国税收征收管理法》第二十四条第一款和（中华人民共和国税收征管法实施细则》第二十九第二款的规定，你单位未按规定保管账薄、记账凭证和有关资料的行为属于违法行为，根据《中华人民共和国税收征收管理法》第六十条第（二）项的规定，应当予以处罚。根据《国家税务总局大连市税务局关于发布大连市税务行政处罚裁量基准>的公告》（国家税务总局大连市税务局公告018年第14号)第十条第（三】项的规定
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,1--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-03-08
处罚有效期,2023-03-23
公示截止期,2024-03-08
处罚机关,国家税务总局大连市税务局第一稽查局
