组织名称,大连旭威蓄牧发展有限公司
统一社会信用代码,91210283058060604F
行政处罚决定文书号,2023050007
法人代表人,王守瑞
违法行为类型,《中华人民共和国固体废物污梁环境防治法》六十五条第二款：“从事蓄离规模养殖应当及时收集、贮存、利用或者处置养殖过程中产生的蓄离粪污等固体废物，避免造成环境污染”
违法事实,2023年2月15日，庄河生态环境局执法人员检查发现，大连旭威畜牧发展有限公司有5鸡舍，蛋鸡存栏40000只，养殖场南侧的鸡舍西侧有养殖粪便堆放，未及时收集到暂存场内，
处罚依据,《中华人民共和国固体废物污梁环境防治法》第一百零七条：“从事蓄离规模养殖未及时收集、贮存、利用或者处置养殖过程中产生的蓄离粪污等固体废物的由生态环境主管部阳门责令改正，可以处十万元以下的罚款：情节严重的，报经有批准权的人民政府批准，责令停业或者关闭。“
处罚类别,罚款
处罚内容,罚款人民币壹万元整￥10000#
罚款金额（万元）,1--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-04-12
处罚有效期,2099-12-31
公示截止期,2024-04-12
处罚机关,大连市生态环境局
