组织名称,大连盛海冷藏有限公司
统一社会信用代码,912102126740540990
行政处罚决定文书号,旅市监处罚【2022】67号
法人代表人,颜文才
违法行为类型,1、当事人生产经营标签含有虚假内容的盐渍海带的行为违反了《中华人民共和国食品安全法》第七十条第一款：“食品和食品添加剂的标签、说明书，不得含有虚假内容，不得涉及疾病预防、治疗功能。生产经营者对其提供的标签、说明书的内容负责。“第三款：“食品和食品添加剂与其标签、说明书的内容不符的，不得上市销售。“之规定。2、当事人使用无标识的散装食品原料加工海带，：二十《国丫中》食品添加剂的标签、说明书应当清楚、明显，生产日期、保质期等事项应当显著标注，容易辨辩识。”之规定。
违法事实,"2022年8月16日，旅顺口区市场监督管理局接到举报后，立即组织执法人员对大连盛海冷藏有限公司进行现场检查，发现该公司生产车间内操作台上摆放已装箱尚未封箱的盐渍海带40箱，在冷库内摆放成垛的盐渍海带220箱，盐渍海带包装箱上标注的生产日期是2022年7月20日。当事人承认实际的生产日期是2022年8月16日。在生产车间操作台旁发现的大袋无标识白色编织袋装的大粒盐35袋，每袋50kg：合计1750kg。在该盐渍海带包装箱上标注的营养成分表无法提供检验报告。经查，当事人大连盛海冷藏有限公司承认其生产的260箱盐渍海带实际生产日期是2022年8月16日。因其使用的盐渍海带包装箱是之前在锦州一位姓唐的客户处批量订购的，包装箱上印刷的时间是2022年7月20日。当事人生产完盐渍海带后未更改生产日期就直接使用该包装箱了。同时，在该盐渍海带包装箱上标注的营养成分表：项目：能量：139千焦（ki)/100克（g），营养素参考值%或NRV%为2%；项目：蛋白质，1.1克（g)/100克（g),营养素参考值%或NRV%为2%：项目脂肪：0克（g)/100克（g),营养素参考值%或NRV%为0%：项目：碳水化合物：6.0克（g)/100克（g)营养素参考值%或NRV%为2%：项目：钠，10743毫克（mg)/100克（g),营养素参考值%或NRV%为537%。该营养成分表是盐渍海带包装箱供货商自行印刷在包装箱上的，均无检验报告。截止查获时止，由于当事人未建立财务账目等数据凭证，无法确定具体销售额。经进一步调查询问，当事人承认生产加工17.20元。因当事人生产的该批盐渍海带尚未对外销售，故无违法所得。当事人生产的该批盐渍海带经出厂检验合格。当事人的上述行为构成生产经营标签含有虚假内容的盐渍海带的违法行为。在当事人生产车间操作台旁发现的35袋白色编织袋装的大粒盐，当事人承认是2022年8月10日在大连盐化集团有限公司采购的，每袋50kg，35袋共计1750kg，其中一袋已开封使用。当事人无法提供该35袋大粒盐的标识。该大粒盐主要用于清洗海带，清洗完后将控干的海带装到包装箱内。当事人承认该大粒盐的购买价格为每袋30元，35袋大粒盐的购买价格共计1050元，即货值金额为1050元。2022年10月19日，旅顺口区市场监督管理局委托大连产品质量检验检测研究院有限公司对该批大粒盐进行检验检测，检验结论为合格。当事人的上述行为构成使用无标识的散装食品原料加工盐渍海带的违法行为"
处罚依据,依据《中华人民共和国行政处罚法》第二十八条第一款：“行政机关实施行政处罚时，应当责令当事人改正或者限期改正违法行为。”、《中华人民共和国食品安全法》第一百二十五条第一款：“违反本法规定，有下列情形之一的，由县级以上人民政府食品安全监督管理部门没收违法所得和违法生产经营的食品、食品添加剂，并可以没收用于违法生产经营的工具、设备、原料等物品；违法生产经营的食品、食品添加剂货值金额不足一万元的，并处五千元以上五万元以下罚款：货值金额一万元以上的，并处货值金额五倍以上十倍以下罚款：情节严重的责令停产停业，直至吊销许可证：（二）生产经营无标签的预包装食品、食品添加剂或者标签、说明书不符合本法规定的食品、食品添加剂：（四）食品生产经营者采购或者使用不符合食品安全标准的食品原料、食品添加剂、食品相关产品“的规定。
处罚类别,"没收非法财物,罚款"
处罚内容,1.没收标签含有虚假内容的盐渍海带包装箱260个；2.对当事人生产标签含有虚假内容的盐渍海带，罚款10000元；对当事人使用无标识的散装食品原料加工盐渍海带的行为罚款1000元，合计罚款11000元，上缴国库。
罚款金额（万元）,1.10.0286
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-30
处罚有效期,2023-11-30
公示截止期,2025-11-30
处罚机关,大连市旅顺口区市场监督管理局
