组织名称,大连健兴物流有限公司
统一社会信用代码,91210242MA10JY1CXK
行政处罚决定文书号,大税二稽罚2022】32号
法人代表人,乔海波
违法行为类型,发票违法
违法事实,"我局在注册登记地址和生产经营地址未能找到你单位，经公告送达相关税务文书，你单位至今失联，属于走逃失联企业。经检查，你单位开户银行中国农业银行大连市金州支行（账号34376001040013017】及相关企业、个人的银行账户资料分析，发现你单位资金往来情况异常。你单位于2020年8月28日至2022年4月30日期间无真实业务对外开具增值税专用发票57份，发票代码为2102212130：发票号码为00304132-00304133；发票代码为2102204130，发票号码为01962366：发票代码为2102201130，发票号码为03214105-03214108：发票代码为2102203130：发票号码为00906188-00906192：发票代码为2102204130，发票号码为00386313、00423120-00423123、01962358-01962365：发票代码为2102211130，发票号码为00763408-00763410、00763412、00780494-00780500、007805210078052600780528-00780532：发票代码为2102212130，发票号码为003041340030414200304147，发票金额5,056,541.29元，发票税额455,088.77元。1、关于确认征管信息相关情况及证据的申请2、大连健兴物流有限公司情况说明3、纳税人基本信息4、增值税纳税申报表5、增值税进项明细6、增值税销项明细7、企业及相关人员银行账户资金流水"
处罚依据,"根据《中华人民共和国发票管理力法》第三十七条第一款，《东北区域税务行政处罚裁量基准》第46条第（四】项规定，该单位对外虚开金额5,056,541.29元"
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,50--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-22
处罚有效期,2022-12-09
公示截止期,2023-11-22
处罚机关,国家税务总局大连市税务局第二稽查局
