组织名称,大连玉林创利商贸有限公
统一社会信用代码,91210213MA0U65CK0D
行政处罚决定文书号,大税三稽罚[2022] 31号
法人代表人,栾玉娜
违法行为类型,违反账薄凭证管理规定
违法事实,你单位2017年至2022年期间销售海尔品牌热水器、空调、燃气灶等电器，并通过微信、支付宝、现金和银行转账方式收取货款。你单位完成商品销售后货款已收取，货物已发出，纳税义务已发生，未逐笔开具发票，未按全部销售货款确认收入，未及时结转对应成本。
处罚依据,根据《中华人民共和国税收征收管理法第六十三条第一款纳税人伪造、变造隐匿、擅自销毁账薄、记账凭证，或者在账薄上多列支出或者不列、少列收入或者经税务机关通知电报而拒不电报或者进行虚假的纳税电报，不缴或者少缴应纳税款的，是偷税。对纳税人偷税的，由税务机关道追缴其不缴或者少缴的税款带纳金，并处不者少的税款白分之五十以上五倍以下的罚款：构成犯罪的，依法道追究事责任”的规定，
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,3.435035--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2022-11-22
处罚有效期,2022-12-09
公示截止期,2023-11-22
处罚机关,国家税务总局大连市税务局第二稽查后
