组织名称,大连佳明鑫商贸有限公司
统一社会信用代码,912102133411264025
行政处罚决定文书号,大税一稽罚【2022】52号
法人代表人,杨洪佰
违法行为类型,违反账簿凭证管理规定
违法事实,"你单位2019年-2021年期间向法定代表人杨洪佰实际控制的独立核算的个体户西岗区圣达厨具城鸿图电器商行（以下简称鸿图电器）销售冰柜、冰箱等货物，你单位与鸿图电器未签订合同，未向鸿图电器升具发票，你单位上述销售货物的行为，未在账簿中确认销售收入、未计提增值税销项税额。造成你单位少计2019年年7月增值税销项税额2,574.00元、2020年10月增值税销项税额2450.21元、2020年12月增值税销项税额3,048.67元：2021年7月增值税销项税额3,169.47元2021年10月增值税销项税额5,246.02元：少计2019年销售收入63,301.77元、2020年销售收入62,099.12元、2021年销售收入64,734.51元，少结转2019年主营业务成本59,164.93元、2020年主营业务成本57,852.54元、2021年主营业务成本60，360.32元。上述业务造成你单位少计增值税销项税额24,717.60元。你单位2022年6月增值税留抵税额135,348.06元，在2022年7月6日申请留抵退税，并于2022年7月7日收到了退还的税款135,348.06元（凭证号:2022-7-31记4号)。经调整后，2022年6月增值税留抵税额实际应为110,630.46元，造成你单位多取得退还的留抵退税额24,717.60元。根据你单位法定代表人杨洪佰和会计周宏询问笔录中陈述，你单位截止2022年6月份库存商品科目期未余额为1,111,365.39元，经盘点，你单位实际库存为933,987.60元，差额为177,377.79元。上述差额形成的原因为你单位2019年至2021年期间将冰箱、冷柜等商品销售给公司法定代表人杨洪佰实际控制的个体工商户西岗区圣达厨具城鸡图电器商行，西岗区圣达厨具城鸡图电器商行已将上述货物对外销售并已收取货款，你单位未就上述业务开具发票，未结转收入和成本，也未计提增值税销项税额。"
处罚依据,"你单位2019年至2021年间将商品对外销售，未在账簿中确认收入、未计提相应的增值税销项税额的行为，根据《中华人民共和国税收征收管理法》第六十三条第款“纳税人伪造、变造、隐匿、擅自销毁账簿、记账凭证,或者在账簿上多列支出或者不列、少列收入，或者经税务机关通知甲报而拒不甲报或者进行虚假的纳税申报,不缴或者少缴应纳税款的,是偷税。对纳税人偷税的，由税务机关追缴其不缴或者少缴的税款、滞带纳金，并处不缴或者少缴的税款百分之五十以上五倍以下的罚款：构成犯罪的，依法追究刑事责任""的规定，属于偷税行为，应当予以处罚。"
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,2.47176--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2022-11-25
处罚有效期,2022-12-12
公示截止期,2023-11-25
处罚机关,国家税务总局大连市税务局第一稽查局
