组织名称,大连康安大药房人来旺店
统一社会信用代码,91210248MA101D4Q88
行政处罚决定文书号,旅市监处罚【2022】65号
法人代表人,吕军
违法行为类型,当事人销售更改有效期药品的行为，违反了《中华人民共和国药品管理法》第九十八条第一款第（三：“禁正止生产（包括配置，下同、销售、便用假约劣药。有下列情形之一的为劣药：（三）未标明或者更改有效期的药品：“的规定。
违法事实,2022年9月14日旅顺口区市场监督管理局执法人员在大连康安大药房人来旺店检查，现场发现药品销售货架上摆放有更改有效期的通宣理丸等26种药品，共计212盒。依据《中华人民共和国药品管理法》第一百条第二款的规定，执法人员当场下达了旅市监强制[20221155号行政强制措施决定书，对上述产品进行了扣押。经查，大连康安大药房人来旺店是于2020年4月开始经营，已办理营业执照和约品经营许可证，当事人于2022年春节期间，将约房内未销售出去的临近有效期和过期药品拿回家中，使用在淘宝网购买的打码机，对涉案药品的有效期重新进行打码更改，将有效期延长至2024年1月和2024年8月，后将更改有效期的药品送到大连康安大药房人来旺店，摆在药品展示货架上进行销售，打码机已被当事人丢弃。2022年9月14日热法人员现场发现在其药品销售展示货架上摆放更改有效期的通宣理肺丸等26种，共计212盒。根据当事人提供的药品清单可知，店内摆放的26种更改有效期的药品，货值合计2113.5元。至查获时：更改过有效日期的药品尚未销售出去，未获违法所得。当事人上述行为构成销售劣药的违法行为
处罚依据,"《中华人民共和国药品管理法》第一百一十七条“生产、销售劣药的，没收违法生产、销售的药品和违法所得，并处违法生产、销售的药品货值金额十倍以上二十倍以下的罚款；违法生产、批发的药品货值金额不足十万元的，按十万元计算，违法零售的药品货值金额不足一万元的，按一万元计算：情节严重的，责令停产停业整顿直至吊销药品批准证明文件、药品生产许可证、药品经营许可证或者医疗机构制剂许可证。“的规定。依据《中华人民共和国行政处罚法》第二十八条第一款“行政机关实施行政处罚时，应当责令当事人改正或者限期改正违法行为。"""
处罚类别,没收非法财物，罚款
处罚内容,1、没收更改有效期的通宣理肺丸等26种药品，共计212盒；2、罚款人民币20000元整，上缴国库。
罚款金额（万元）,20.21135
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-11
处罚有效期,2023-11-11
公示截止期,2025-11-11
处罚机关,大连市旅顺口区市场监督管理局
