组织名称,压河明珠湾房地产开发有限公司
统一社会信用代码,91210283051133364A
行政处罚决定文书号,主自然资国王规监罚字【2022】1-011号
法人代表人,于君
违法行为类型,违反广《中华人民共和国城乡规划法》第四十一条依据《中华人民共和国城多规划法》第六十四条
违法事实,庄河明珠湾房地产开发有限公司在庄河市城关街道龙主庙村建设的明珠湾壹公馆住宅小区二期建设项自于2019年6月21日取得建设工程规划许可证。经检查发现建设单位未按建设工程规划许可证的规定进行建设，在规划审批内容外多建设两处警卫用房共144m（南侧警卫房建筑面积132m、东侧警卫房建筑面积12m
处罚依据,违反了中华人民共和国城乡规划法第四十三条依据《中华人民共和国城多规划法》第六十四条
处罚类别,罚款
处罚内容,1、责令限期0日内采取改止正措施消除对规划实施的影响2、处两处警卫用房建设1程造价5%罚款两处警卫用房造价1283/0.24元×5%），合计罚款：陆什肆佰壹拾捌元伍角壹分（6418.51元）。
罚款金额（万元）,0.64
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-30
处罚有效期,2023-11-30
公示截止期,2023-11-30
处罚机关,王河市自然资源后
