组织名称,大连坤盛达食品有限公司
统一社会信用代码,91210211MA0QF4RN3D
行政处罚决定文书号,甘市监执一处罚【[2022】005号
法人代表人,王晓东
违法行为类型,违反了《中华人民共和国食品安全法第三十四条第一款第（十三）项“禁止生产经营下列食品、食品添加剂、食品相关产品：（十三其他不符合法律、法规或者食品安全标准的食品、食品添加剂、食品相关产品。“的定。当事人上述行为属于生产不符合食品安全标准的食品的违法行为。
违法事实,经查，该公司生产的该批次多味葵花籽（生产日期：2021年12月5日】60袋，每袋500克，全部销售给大连丰进食品商行，其中9袋被抽检单位于7月12日采样剩余51袋已全部下架召回并销毁，：出厂价为每箱（500克*15袋）112元，：故当事人货值为448元，违法所得448元。
处罚依据,依据《中华人民共和国食品安全法》第一百二十四条第二款“违反本法规定有下列情形之一，尚不构成犯罪的，由县级以上人民政府食品药品监管理部门没收违法所得和违法生产经营的食品、食品添加剂，并可以没收用于违法生产经营的工具、设备、原料等物品：违法生产经营的食品、食品添加剂货值金额不足一万元的，并处五万元以上十万元以下罚款：货值金额一万元以上的，并处货值金额十倍以上二十倍以下罚款：情节严重的，吊销许可证：除前款和本法第一百二十二条、第一白二十五条定的情形外，生产经不符台法律、法规或者食品安全标准的食品、食品添加剂的，依前款规定给予处罚。“的规定依法对当事人进行行政处罚。
处罚类别,"没收违法所得,罚款"
处罚内容,1.没收违法所得448元；2.罚款5200元。罚没款合计5648元，上缴国库。
罚款金额（万元）,0.520.0448
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-18
处罚有效期,2022-11-18
公示截止期,2023-11-18
处罚机关,大连市甘井子区市场监管管理局
