组织名称,大连市杰汤贸易有限公司
统一社会信用代码,91210202MA0U28J3G
行政处罚决定文书号,大税一稽罚【2022】43号
法人代表人,徐占斌
违法行为类型,其他违法
违法事实,"你单位2021年通过法定代表人徐占斌个人账户收取货款，2021年7月收取10,000元，2021年8月收取9,990.01元，2021年9月收取27,972.03元，2021年11月收取68,144.95元，均未按税法规定确认主营业务收入共计102,749.55元，货物已在收取货款时发出，未结转相应的主营业务成本87,021.77元：少计增值税销项税额13,357.44元，你单位2022年3月申报增值税留抵税额92,282.44元，4月申请留抵退税，进项构成比例为1，4月25日取得退还的留抵退税额为92,282.44元。此次纳税调整后2022年3月实际增值税留抵税额78,925元，你单位实际应取得留抵退税额为78,925元，造成你单位2022年4月多取得留抵退税13,357.44元。上述事实，有以下证据证实；1.《大连市杰汤贸易有限公司营业执照》复制件：2. (SD44B19L数量金额明细账》复制件：3.《90D26L-MF-SY-KR-BX数量金额明细账》复制件;4.《招商银行银行流水》复制件：5.《支付宝收货款明细表》复制件;6.《询问（调查）笔录第一次（徐占斌）》，附被询问人徐占斌居民身份证复制件；7.《2021年主营业务收入明细账》复制件：8.《2021年主营业务成本明细账》复制件：9.《2021年应交税金一一应交增值税（销项税额）明细账》复制件;10.《2021年企业所得税申报表》复制件；11《2021年7月至2022年7月增值税申报表》复制件。12.《退（抵）税申请表》及《银行回单》复制件:"
处罚依据,"你单位2021年发生真实货物交易、货物已经发出，货款已经收取，未确认业务收入的行为，根据《中华人民共和国税收征收管理法》第六十三条第一款""纳税人伪造、变造、隐匿、擅自销毁账簿、记账凭证,或者在账簿上多列支出或者不列少列收入,或者经税务机关通知申报而拒不申报或者进行虚假的纳税申报,不缴或者少缴应纳税款的,是偷税。对纳税人偷税的，由税务机关道缴其不缴或者少缴的税款、滞纳金，并处不缴或者少缴的税款百分之五十以上五倍以下的罚款；构成犯罪的，依法追究刑事责任""的规定，属于偷税行为，应当予以处罚。鉴于在检查过程中，你单位能够积极配合我局检查"
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,1.375064
没收违法所得、没收非法财物的金额（万元）,--
暂扣或吊销证照名称及编号,--
处罚决定日期,2022-11-16
处罚有效期,2022-12-02
公示截止期,2023-11-16
处罚机关,国家税务总局大连市税务局第一稽查局
