组织名称,大连吉人涂料有限公司
统一社会信用代码,91210281MA0UT48470
行政处罚决定文书号,大税一稽罚【2022】42号
法人代表人,王艳林
违法行为类型,其他违法
违法事实,"问题一：你单位2022年1月与大连钰博建设工程有限公司签订《产品购销合同》约定销售丙烯酸聚氢酯面涂料固化剂、环氧云铁中间漆等货物，2022年6月采取预收货款方式，向大连钰博建设工程有限公可销售环氧云铁中间漆工，82KG铁红环氧底漆1,640KG，价税合计分别为25,272元、22.140元，总计47,412元上述货物已发出，并已全额收款，纳税义务已发生，少计2022年6月销售收入41，957.52元：少计2022年6月销售成本41,188.47元，少计提2022年6月增值税销项税额5,454.48元、少计提2022年第一季度印花税6.3元。问题二：你单位2020年5月、7月、2021年2月、6月、9月、10月、11月向个人刘小翠等个人销售""吉速“快干灰、冷藏船蓝灰丙烯酸船壳涂料等货物，未签订合同，价税合计分别为69,280.00元、24,900.00元、11,250.00元、26,035.00元、5,368.00元、28,23200元、38,850.00元，合计203,915.00元。上述货物已发出，并已全额收款，纳税义务已发生：分别少计2020年5月、7月、2021年2月、6月、9月、10月、11月销售收入61,309.73元、22,035.40元、9,955.75元、23,039.82元、4,750.44元5元、80,546.45元，分别少计提2020年5月、7月、2021年2月、6月、9月、10月、11月增值税销项税额7,970.26元、2,864.60元、1,294.25元、2,995.18元、617.56元、3,247.93元、4,469.47元，少计2020年5月印花税11.0元、2020年7月印花税3.9元、2021年2月印花税1.8元、2021年第二季度印花税4.1元、2021年第三季度印花税0.8元、2021年第四季度印花税10.7元，少计2020年应纳税所得额16000.68元、2021年应纳税所得额16,546.77元。"
处罚依据,"你单位上述问题中2020年5月、7月、2021年2月、6月、9月、10月、11月、2022年6月发生真实货物交易、货物已经发出，货款已经收取，未确认业务收入，根据《中华人民共和国税收征收管理法》第六十三条第一款""纳税人伪造、变造、隐、擅自销毁账薄、记账凭证，或者在账薄上多列支出或者不列、少列收入，或者经税务机关通知申报而拒不申报或者进行虚假的纳税申报,不缴或者少缴应纳税款的,是偷税。对纳税人偷税的，由税务机关道缴其不缴或者少缴的税款、滞纳金，并处不缴或者少缴的税款百分之五十以上五倍以下的罚款；构成犯罪的，依法追究刑事责任""的规定，属于愉税行为"
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,3.061788--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2022-11-16
处罚有效期,2022-12-01
公示截止期,2023-11-16
处罚机关,国家税务总局大连市税务局第一稽查局
