组织名称,大连高昌国际货运代理有限公司
统一社会信用代码,912102006658247840
行政处罚决定文书号,大税一稽罚【2022】44号
法人代表人,高临
违法行为类型,发票违法
违法事实,你单位未按规定保管2014年、2015年账薄、记账凭证和有关资料，且在规定限期内你单位未能改正
处罚依据,"你单位未按规定保管2014年、2015年账薄、记账凭证和有关资料的行为，根据中华人民共和国税收征收管理法》第二十四条第一款和《中华人民共和国税收征收管理法》第六十条第（二项的规定，应当予以处罚。在检查过程中，检查人员于2022年6月21日向你单位送达了（责令限期改正通知书》（大税一稽限改[2022］8号】，你单位在规定限期内未能改正,根据（东北区域税务行政处罚裁量基准》（国家税务总局辽宁省税务局国家税务总局吉林省税务局国家税务总高黑龙江省税务局国家税务总局大连市税务局公告2022年第1号1第九条第二款第三项的规定"
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,0.2--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2022-11-16
处罚有效期,2022-12-02
公示截止期,2023-11-16
处罚机关,国家税务总局大连市税务局第一稽查局
