组织名称,沈阳维康医药连锁有限公司大连沈阳路维康大药房
统一社会信用代码,912102127599298948
行政处罚决定文书号,（旅)市监处罚【2022】72号
法人代表人,旭忠
违法行为类型,沈阳维康医药锁有限公司大连沈阳路维康大药房以上违法行为违反了《中华人民共和国药品管理法》第五十五条“药品上市许可持有人、药品生产企业、药品经营企业和医疗机构应当从药品上市许可持有人或者有药品生产、经营资格的企业购进药品：但是，购进未实施审批管理的中药材除外。“的规定。
违法事实,2022年9月22日，旅顺口区市场监督管理局执法人员对沈阳维康医药连锁有限公司大连沈阳路维康大药房进行检查，经营场所内发现正在经营瑞舒伐他汀钙片2盒。执法人员请当事人提供以上药品的随货同行单，当事人未能提供。2022年9月22日，旅顺口区市场监督管理局执法人员对沈阳维康医药连锁有限公司大连沈阳路维康大药房进行检查，经营场所内发现正在经营瑞舒伐他汀钙片2盒。执法人员请当事人提供以上药品的随货同行单，当事人未能提供。经查，2022年8月6日，沈阳维康医药连锁有限公司大连沈阳路维康大药房从个人业务员手中购进瑞舒伐他汀钙片（批号：503375，生产日期：2022年3月，有效期至：2025年2月，共进10盒，销售8盒，购进价格98元/盒，销售价格110元/盒，现场未见随货同行单。以上药品货值金额共计1100元，违法所得880元。当事人的上述行为，构成从非法渠道购进药品的违法行为。
处罚依据,依据《中华人民共和国药品管理法》第一百二十九条：“违反本法规定，药品上市许可持有人、药品生产企业、药品经营企业或者医疗机构未从药品上市许可持有人或者具有药品生产、经营资格的企业购进药品的，责令改正，没收违法购进的药品和违法所得，并处违法购进药品货值金额二倍以上十倍以下的罚款：情节严重的...….药品经营许可证或者医疗机构执业许可证；货值金额不足五万元的，按五万元计算。“的规定。
处罚类别,没收违法所得、没收非法财物，罚款
处罚内容,1、没收瑞舒伐他汀钙片2盒。2、没收违法所得880元。3、罚款人民币10000元，罚没款合计人民币10880元上缴国库。
罚款金额（万元）,10.088
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-15
处罚有效期,2023-11-15
公示截止期,2025-11-15
处罚机关,大连市旅顺口区市场监督管理局
