组织名称,天连月鹏格煤炭有限公司
统一社会信用代码,91210212MA0XPGYG4N
行政处罚决定文书号,旅市监处罚【2022】64号
法人代表人,李鹏
违法行为类型,"《中华人民共和国公可法》第二白一十条第一款：“公可成豆后无正当理由超过六个月未开业的，或者开业后自行停业连续六个月以上的，可以由公可登记机关吊销营业热照”。《中华人民和国个人独资企业法》第三十六条：“个人独资企业成壹后无正当理由超过六个月未开业的，或者开业后自行停业连续六个月以上的，吊销营业执照""。"
违法事实,大连旅顺创奇硬质合金厂等148户企业未公示2019、2020、2021年度报告：通过企业登记的住所或经营场所及联系方式，核查以上148户市场主体查无下落：函至国家税务总局大连市城顺口区税务局，核查上述48户市场主体连续卖六个月无纳税申报记录。以上148户市场主体构成无正当理由超过六个月未开业或者开业后自行停业连续六个月以上的违法行为。
处罚依据,依据《中华人民共和国公司法》第二百一十条第一款：“公司成立后无正当理由超过六个月未开业的，或者开业后自行停业连续六个月以上的，可以由公司登记机关吊销营业执。”《中华人民共和国个人独资企业法》第三十六条：“个人独资企业成立后无正当理由超过六个月未开业的，或者开业后自行停业连续六个月以上的，吊销营业执照。“之规定
处罚类别,暂扣或者吊销执照
处罚内容,吊销营业热膜
罚款金额（万元）,--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,91210212MA0XPGYG4N
处罚决定日期,2022-12-16
处罚有效期,2023-12-16
公示截止期,2025-12-16
处罚机关,旅顺口区市场监督管理局
