组织名称,庄河市和顺堂大药房有限公司
统一社会信用代码,91210283MA0XNTN839
行政处罚决定文书号,庄市监药处罚【2022】41号
法人代表人,孙书
违法行为类型,"违反了《中华人民共和国药品管理法》第九十八第一款“禁正止生产（包括配制，下同）、销售、使用假药、劣药“的规定及第九十八条第三款""有下列情形之一的，为劣药：第（七）项其他不符合药品标准的药品：”的规定，属于使用劣药的违法行为。"
违法事实,"庄河市和顺堂大药房有限公司分别于2020年9月17日，从大连圣达医药有限公司亿华分公司购进标示生产企业为山西迈迪制药有限公司，批号522008的劣药""小儿咽扁颗粒10盒，购入价格为6元/盒，销售价格为8元/盒，现已销售完毕；于2020年9月26日，从大连圣达医药有限公司购进标示生产企业为山西迈迪制药有限公司，批号522008的劣药""小儿咽扁颗粒""5盒，购入价格为7元/盒，销售价格为8元/盒，现已销售完毕：至案发时上述药品全部销售完毕：货值金额共12000元，违法所得25.00元。"
处罚依据,"依据《中华人民共和国药品管理法》第一百一十七条生产销售劣药的，没收违法生产、销售的药品和违法所得，并处违法生产销售的药品货值金额十倍以上二十倍以下的罚款：违法生产、批发的药品货值金额不足一万元的，按一万元计算；情节严重法的，责令停产停业整顿直至吊销药品批准证明文件、药品生产许可证药品经营许可证或者医疗机构制剂许可证：依据《中华人民共和国药品管理法实施条例》第七十五条“药品经营企业、医疗机构未违反《药品管理法》和本条例的有关规定，并有充分证据证明其不知道所销售或者使用的药品是假药、劣药的，应当没收其销售或者使用的假药、劣药和违法所得；但是，可以免除其他行政处罚。”：依据《关于<药品管理法><药品管理法实施条例>“违法所得""问题的批复》（国食约监法200门/4号""《约品管理法实施条例》第十条规定理局行政处罚裁量秘适用规定》第十二条“约品经营企业、医疗机构具备以下情形的，视为符合《药品管理法实施条例》第七十五条的“充分证据”，依据该条规定，没收其销售或者适用的假药、劣药的违法所得，但是可以免除其他行政处罚。（一）进货渠道合法，且能提供真实合法的药品生产或者经营许可证、营业执照、授权委托书、销售票据、药品合格证明等证明：（二）药品购（销）记录、入库检查验收记录真实完整；（三）药品的储存、保管和养护未违反有关规定且有真实完整的记录。“的规定，"
处罚类别,没收违法所得
处罚内容,1.责令改正违法行为；2.没收违法所得25.00元。
罚款金额（万元）,--0.0025
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-25
处罚有效期,2024-11-25
公示截止期,2023-11-25
处罚机关,庄河市市场监督管理局
