组织名称,大连经济技术开发区灵之堂大约房
统一社会信用代码,91210213311556700B
行政处罚决定文书号,大金普市监综执罚【2022】222号
法人代表人,侯晓晖
违法行为类型,使用劣药的违法行为违反了《药品管理法》第九十八条第一款：第三款第（七项的规定
违法事实,2022年10月24日：我局接到大连市市场监管局《案件交办函》（收文编号：大市监药稽函2022137号】，该案件为大连市市场监管局转交的大连经济技术开发区灵芝堂大药房涉销售势药“酒女贞子”（安国市荣华本草中药材有限公司生产，批号C02120101，该批药品经大连市药品检验检测院检验，含量测定项不符合规定，定性为势药，其销售流向涉及大连经济技术开发区灵芝堂大约房
处罚依据,依据《药品管理法实施条例》第七十五条，给予以下行政处罚：没收违法所得肆元（4.00元，免于其他行政处罚。
处罚类别,没收违法所得
处罚内容,经营劣药
罚款金额（万元）,--0.0004
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-22
处罚有效期,2099-12-31
公示截止期,2023-11-22
处罚机关,大连金普新区市场监督管理局
