组织名称,大连加禾牧现代农业科技发展有限公司
统一社会信用代码,91210213MA7M1NN12R
行政处罚决定文书号,2023070008
法人代表人,孔维鑫
违法行为类型,《中华人民共和国固体废物污环境防治法》六十五条第二款：“从事蕾蓄离规模养殖应当及时收集、贮存、利用或者处置养殖过程中产生的蓄离粪污等固体废物，避免造成环境污染。”
违法事实,2023年3月6日大连市金普新区（金州）生态环境分局行政执法人员到位于金州区向应街道关家村的大连加禾牧现代农业科技发展有限公司现场检查，该公司主要生猪饲养，存栏量约2100头生猪，院内东侧有三猪舍，三栋猪舍共用一个粪池，北侧有一露天大坑（40米×25米×3米），坑内存有混合猪尿废污，无三防措施，且有部分污流尚到周边居民田地里
处罚依据,《中华人民共和国固体废物污梁环境防治法》第一百零七条：“从事蓄离规模养殖未及时收集、贮存、利用或者处置养殖过程中产生的蓄离粪污等固体爱物的，由生态环境主管部阶责令改正，可以处十方元以下的罚款：情节产严重的，报经有批准权的人民政府批准，责令停业或者关团。”
处罚类别,罚款
处罚内容,罚款人民币壹万元整（?10000）#
罚款金额（万元）,1--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-04-11
处罚有效期,2099-12-31
公示截止期,2024-04-11
处罚机关,大连市生态环境局
