组织名称,大连嘉尚食品有限公司
统一社会信用代码,91210213MABN4T690G
行政处罚决定文书号,大金普市监生处【2022】17号
法人代表人,周钰爆
违法行为类型,当事人未取得食品生产许可从事食品生产活动的行为违反了《中华人民共和国食品安全法》第三十五条第一款的规定
违法事实,当事人未取得食品生产许可从事食品生产活动的行为违反了中华人民共和国食品安全法》第三十五条第一款国家对食品生产实行许可制度。从事食品生产，应当依法取得许可“的规定
处罚依据,依据《中华人民共和国食品安全法》第一百二十二条第一款“违反本法规定，未取得食品生产许可从事食品生产活动的，由县级以上人民政府食品药品监管理部门没收违法所得和违法生产经营的食品、食品添加剂以及用于违法生产经营的工具、设备、原料等物品：违法生产经营的食品、食品添加剂货值金额不足一方元的，并处五万元以上十万元以个罚款：货值金额一万元以上的，并处货值金额十倍以上二十倍以下罚款。“进行处罚
处罚类别,没收违法所得，罚款
处罚内容,没收违法所得1101.75元：罚款50000元没收违法产品香辣海带丝300袋（规格型号：40g/袋）和香裙带菜唇片200袋（规格型号：200g/袋）没收生产设备真空包装机（规格型号：DZ-600/2S型）一台
罚款金额（万元）,50.152675
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-12-02
处罚有效期,2099-12-31
公示截止期,2023-12-02
处罚机关,大连金普新区市场监督管理局
