组织名称,大连润机械制造有限公司
统一社会信用代码,91210212MA0QF0GVW6B
行政处罚决定文书号,旅应急罚[202115003号
法人代表人,滕晓军
违法行为类型,《安全生产法》
违法事实,2021年1月23日，大连润判翔机械制造有限公司铆焊车间一名工人在起重作业时被连接机机架砸伤致死，后经调查确定为一起一般起重伤害生产安全事故。经事故调查组调查发现：大连润翔机械制造有限公司落实企业主体责任不到位，未建立健全安全生产规章制度和起重作业操作规程，未对员工进行起重作业安全教育和培训，铆焊车间作业现场安全管理不到位，公司主要负责人未依法履行安全生产工作职责，没有及时发现安全隐惠并进行排除，导致事故发生，对事故发生负有主要责任。
处罚依据,《中华人民共和国安全生产法》第一百零九条第一项
处罚类别,罚款
处罚内容,2021年1月23日，大连润翔机械制造有限公司铆焊车间一名工人在起重作业时被连接机机架砸伤致死，后经音确定为一起一般起重伤害生产安全事故。经事故请香组调查发现：大连润翔机械制造有限公司落实企业主体责任不到位，未建亨健全安全生产规章制度和起重作业操作规程，未对员工进行起重作业安全教育和培训，铆焊车间作业现场安全管理不到位，公可主要负责人未依法履行安全生产工作职责，没有及时发现安全隐惠并进行排除，导致事故发生，对事故发生负有主要责任。
罚款金额（万元）,24
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2021-05-14
处罚有效期,2021-05-29
公示截止期,2024-05-14
处罚机关,旅顺口区应急管理局
