组织名称,大连银鹏重工有限公司
统一社会信用代码,91210212559837354F
行政处罚决定文书号,大自然资监罚字【20221第023号
法人代表人,冷延鹏
违法行为类型,未经批准非法占用士地
违法事实,经调查，大连银鹏重工有限公司于2012年5月在旅顺口区双岛湾街道台山西村未经批准非法占用士地，建设厂房及基他设施频目，2020年10月初在未取得士地审批手续的情况下支于其承包地块上建设一新厂房用于机械加工。占用王地面积为13388.63平方米，建筑面积3801.31平方米，占地类型为村用地、采矿用地裸地、建制镇，部分符合士地利用总体规划，部分不符合士地利用总体规划。
处罚依据,上述行为违反了中华人民共和国士地管理法》第二条第一款关于任何单位和个人不得侵占、实卖或者以其他形式非法转让士地。王地使用权可以依法转让”的规定，已构成未经批准非法占地案。根据《中华人民共和国土地管理法》第十十七条第一款“未经批准或者采取欺骗手段骗取批准，非法占用土地的，由县级以上人民政府自然资源主管部阶责令退还非法占用的士地，对违反士地利用总体规划擅自将农用地改为建设用地的，限期拆除在非法占用的士地上新建的建筑物和基他设施，恢复士地原状，对符合士地用总体韧划的，没收在非法占用的士地上新建的建筑物和基他设施，可以并处罚款”依法作出行政处罚。
处罚类别,其他
处罚内容,责令15日内将非法占用的13388.63平方米士地退还给旅顺口区双岛湾街道合山西村民委员会
罚款金额（万元）,--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2022-08-08
处罚有效期,2025-08-08
公示截止期,2025-08-08
处罚机关,大连市自然资源局
