组织名称,大连龙海饲料有限公司
统一社会信用代码,91210282311599890VW
行政处罚决定文书号,2022030001
法人代表人,孙德良
违法行为类型,《建设项自环境保护管理条例》第十九条：编制环境影响报告书、环境影响报告表的建设项目，其配套建设的环境保护设施经验收合格，方可投入生产或者便用；未经验收或者验收不合格的，不得投入生产或者便用
违法事实,你（单位从事鱼粉加工，2015年10月未经环评审批擅自新建一6吨锅炉，205年了月建成，已建成配套污染防治设施，未经验收投入使用。
处罚依据,《建设项目环境保护管理条例》第二十三祭第一款：违反本条例规定，需要配套建设的环境保护设施未建成、未经验收或者验收不合格，建设项目自即投入生产或者便用，或者在环境保护设施验收中弄虚作假的，由县级以上环境保护行政主管部队门责令限期改正，处20万元以上100万元以下的罚款：逾期不改正的，处100万元以上200万元以下的罚款：对直接负责的主管人员和其他人员，处5万元以上20万元以下的罚款：造成重大坏环境污染或者生态破坏的，责令停止生产或者便用，或者报经有批准权的人民政府批准，责令关闭
处罚类别,罚款
处罚内容,罚款人民币拾万元整（￥200000）
罚款金额（万元）,20-
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-01-07
处罚有效期,2099-12-31
公示截止期,2025-01-07
处罚机关,大连市生态环境局（大连市普兰店生态环境分局）
