组织名称,旅顺气体充装站
统一社会信用代码,912102126048913778
行政处罚决定文书号,旅市监处罚【2022】71号
法人代表人,王腊梅
违法行为类型,《中华人民共和国特种设备安全法》第四十九条第二款
违法事实,2022年11月7日接到电话举报：旅顺气体充装站存在对不符合安全技术规范要求的气瓶进行气体充装的违法情况。接到举报后，旅顺口区市场监管管理局执法一中队联合特种设备科于2022年11月9日组织执法人员依法对旅顺气体充装站进行现场检查，现场在该气体站车间重发现有23只标识二维码为”旅顺气体“学样已充装完毕的氩气气瓶，气瓶瓶身上的检验标识大小不等、钢印书写不规范，与其它气瓶的检验标识不一致，现场该气体站不能提供上述23只气瓶有效期内检验报告。该气体站于2022年11月9日开始对不符合安全技术规范要求的气瓶进行全部召回，至2022年11月14日前召回不符合安全技术规范要求的气瓶20只，该气体站充装使用不符合安全技术规范要求的气瓶共计43只。当事人上述行为，涉嫌构成对不符合安全技术规范要求的气瓶进行充装的违法行为经查，旅顺气体充装站承认于2022年7月10日在一位上门推销的男业务员处购买的气瓶，每只200元，一共花8600元现金购买43只气瓶，当时男业务员自述这43只气瓶均已经过正规检验，只是检验报告暂时不能提供，当事人查验这批气瓶钢印均在有效期内，就没检验后领取报告，购实这批气瓶后于2022年/月15日投入气体站便用，并充装气体进行销售。执法人员根据该气体站提供的充装记录确定了43只气瓶的销售单位、具体充装数量及充装使用次数。截止查获时止，上述不符合安全技术规范要求的43只气瓶已全部进行气体充装使用，充装好的气瓶销往中车集团供其使用。其中：20只气瓶用来充装氧气，氧气价格15元/瓶，已循环使用3次，销售额共计900元，每瓶扣除生产用人工、用电及原料成本12元/瓶，每瓶赚3元，获违法所得人民币180元。另外23只气瓶用来充装混合气体，价格25元/瓶，循环使用2次，销售额共计1150元，每瓶扣除生产用人工、用电及原料成本22元/瓶，每瓶赚3元，获违法所得人民币138元。该气体站充装销售上述不符合安全技术规范要求的气瓶共获违法所得人民币318元。当事人的上述行为，构成对不符合安全技术规范要求的气瓶进行充装的违法行为。
处罚依据,《中华人民共和国行政处罚法》第二十八条第二款及《中华人民共和国特种设备安全法》第八十五条第（二）项
处罚类别,"没收违法所得、没收非法财物,罚款"
处罚内容,没收违法所得人民币318元，罚款人民币75000元整，罚没款合计人民币75318元，上缴国库。
罚款金额（万元）,7.50.0318
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-01-03
处罚有效期,2024-01-03
公示截止期,2026-01-03
处罚机关,大连市旅顺口区市场监督管理局
