组织名称,大连大恒生态渔业有限公司
统一社会信用代码,912102247021500464
行政处罚决定文书号,长税广罚【2022】1号
法人代表人,王国恒
违法行为类型,违反税收管理
违法事实,2022-06-01至2022-06-30个人所得税（工资薪金所得）未按期进行申报2022-04-01至2022-06-30增值税（）未按期进行申报2022-04-01至2022-06-30印花税（购销合同未按期进行甲报2022-04-01至2022-06-30企业所得税（应纳税所得额1未按期进行甲报2022-04-01至2022-06-30城市维护建设税（县城、镇（增值税附征））未按期进行申报2022-10-01至2022-10-31个人所得税（工资新金所得）未按期进行申报《中华人民共和国税收征收管理法》申报2022-07-01至2022-09-30城市维护建设税（县城、镇（增值税附征））未按期进行申报2022-07-01至2022-09-30增值税（）未按期进行申报2022-09-01至2022-09-30个人所得税（工资新金所得未按期进行申报《中华人民共和国税得）未按期进行申报《中华人民共和国税收征收管理法》第六十二条2022-07-01至2022-07-31个人所得税（工资薪金所得）未按期进行申报《中华人民共和国税收征收管理法》第六十二条2022-05-01至2022-05-31个人所得税（工资薪金所得）未按期进行申报《中华人民共和国税收征收管理法》第六十二条
处罚依据,《中华人民共和国税收征收管理法》第六十二条
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,0.035--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2022-12-21
处罚有效期,2023-01-05
公示截止期,2023-12-21
处罚机关,国家税务总局长海县税务局广鹿税务所
