组织名称,大连食全餐饮管理有限公司川旺角店
统一社会信用代码,912102046799660621
行政处罚决定文书号,大市监处罚[2022」3-4001号
法人代表人,赵麟之
违法行为类型,违反了中华人民共和国食品安全法第五十五条第一款的规定，违反《中华人民共和国食品安全法》第五十三条第二款的定，违反了《中华人民共和国食品安全法实施条例》第六十九条的规定，违反《中华人民共和国食品安全法》第四十五条第二款的规定。
违法事实,购不符合食品安全标准的食品原料，未建享食品进货查验记录制度，未按照韧！定对变质、超过保质期或者回收的食品进行标识或者存放，未取得健康证明的人员从事接触直接入口食品的工作
处罚依据,依据《中华人民共和国食品安全法》第一百二十五条第一款的规定，依据《中华人民共和国食品安全法》第一百二十六条第一款的规定，依据《中华人民共和国食品安全法》第一百二十六条第一款的规定，依据《中华人民共和国食品安全法》第一百二十六条第一款的规定
处罚类别,"没收违法所得,罚款,警告"
处罚内容,警告、没收违法所得，罚款
罚款金额（万元）,0.50.096
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2022-08-24
处罚有效期,2099-12-31
公示截止期,2025-08-24
处罚机关,大连市市场监管管理局
