组织名称,大连古城天然饮用矿泉水有限公司
统一社会信用代码,91210283716986709H
行政处罚决定文书号,庄市监(郑)处罚（2022）4号
法人代表人,诸江
违法行为类型,违反了《中华人民共和国食品安全法》第三十四条“禁止生产经营下列食品、食品添加剂、食品相关产品：（十三）其他不符合法律、法规或者食品安全标准的食品、食品添加剂、食品相关产品。“的规定。
违法事实,经查，2021年12月31日，大连古城天然饮用矿泉水有限公司生产了中梦泉天然弱碱矿泉矿泉水200件，一件24瓶，共计4800瓶。其中销售给大连新智联乐哈哈惠民超市店50件，共1200瓶，售价为0.6元/瓶，公司库存剩余150件，共3600瓶。该批矿泉水经大连产品质量检验检测研究院有限公司抽样检验，认定界限指标-锶、界限指标-偏硅酸项目不符合GB8537-2018《食品安全国家标准饮用天然矿泉水》要求，检验结论为不合格。当事人生产经营该批矿泉水货值金额为2880元，违法所得为720元。
处罚依据,"参照《辽宁省市场监督管理行政处罚裁量权适用规则》第十五条第一项、第二项“当事人有下列情形之一，可以从轻或者减轻行政处罚：（一）积极配合市场监管部队门调查，如实陈述违法事实并主动提供证据材料的：（二）违法行为轻微，法>行政处罚裁量基准）》序号5裁量标准减轻""没收违法所得和违法生产经营的食品、食品添加剂，并可以没收用于违法生产经营的工具、设备、原料等物品：违法生产经营的食品、食品添加剂货值金额不足一万元的，并处0.5万-5万元罚款：货值金额一万元以上的，并处货值金额1-10倍罚款。“的规定。依据《中华人民共和国行政处罚法》第二十》条“行政机关实施行政处罚时，应当责令当事人改正或者限期改正违法行为。当事人有违法所得，除依法应当退赔的外，应当予以没收。违法所得是指实施违法行为所取得的款项。法律、行政法规、部门规章对违法所得的计算另有规定的，从其规定。“和《中华人民共和国食品安全法》第一百二十四条第一款及第二款违反本法规定，有下列情形之一，尚不构成犯罪的，由县级以上人民政府食品安全监督管理部门没收违法所得和违法生产经营的食品、食品添加剂，并可以没收用于违法生产经营的工具、设备、原料等物品：违法生产经营的食品、食品添加剂货值金额不足一万元的，并处五万元以上一十二一“三二一：“重规定的情形外，生产经营不符合法律、法规或者食品安全标准的食品、食品添加剂的，依照前款规定给予处罚。“的规定。"
处罚类别,没收违法所得、没收非法财物，罚款
处罚内容,1.没收不合格矿泉水3600瓶（货值2160元）；2.没收违法所得720元：3.罚款5000元。
罚款金额（万元）,0.50.288
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-12-23
处罚有效期,2024-12-23
公示截止期,2023-12-23
处罚机关,庄河市市场监督管理局
