组织名称,凡房店市宝来轴承制造有限公司
统一社会信用代码,91210281MA10KMQF68
行政处罚决定文书号,2023040001
法人代表人,吕增金
违法行为类型,《中华人民共和国环境影响评价法》第二十二条第一款：建设项自的环境影响报告书、报告表，由建设单位按照国务院的规定报有审批权的生态环境主管部门审批。第二十五条：建设项自的环境影响评价文件未依法经审批部门审查或者审查后未予批准的，建设单位不得开工建设。
违法事实,经查，你公司存在未依法报批健建设项自环境影响评价文件擅自开工建设的行为，你公可主要从事金属表面处理及热处理加工，在未依法报批建设项自环境影响报告表情况下，2022年，月在位于凡房店市铁东力事处解放路1号擅自开工建设金属表面处理及热处理加工项自，截止2022年12月12日主体工程已经完成65%投入资金66.1万元，根据你公可提供的采购合同及相关票据，金属表面处理及热处理加工项自总投资是，方元，依据《建设项自环境影响评价分类管理名录》（2021年版），你单位表面处理及热处理加工项自，属于应当编制环境影响报告表的项目。
处罚依据,《中华人民共和国环境影响评价法》第三十一条第一款：建设单位未依法报批建设项目环境影响报告书、报告表，或者未依照本法第二十四条的规定重新报批或者报请重新审核环境影响报告书、报告表，擅自开工建设的，由县级以上生态环境主管部阶门责令停止建设，根据违法情节和危害后果，处建设项目总投资额百分之一以上白分之五以的罚款，并可以责令恢复原状对键设单直接责的主管人员和其他直接责任人员，依法给予行政处分。
处罚类别,罚款
处罚内容,罚款人民币壹万零壹伯柒拾柒元整
罚款金额（万元）,1.0177--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2023-02-23
处罚有效期,2099-12-31
公示截止期,2024-02-23
处罚机关,大连市生态环境局
