组织名称,大连嘉乐水产有限公司
统一社会信用代码,912102245880519670
行政处罚决定文书号,长税小罚【2023】1号
法人代表人,李元洪
违法行为类型,违反税收管理
违法事实,2020-12-01至2020-12-31印花税（借款合同）未按期进行甲报2020-12-01至2020-12-31印花税（购销合同）未按期进行申报2020-10-01至2020-12-31城市维护建设税（县城、镇（增值税附征未按期进行申报2020-10-01至2020-12-31地方教附加（增值税地方教育附加）未按期进行申报2020-10-01至2020-12-31教育费附加（增值税教育费附加未按期进行申报2020-10-01至2020-12-31企业所得税（应纳税所得额1未按期进行申
处罚依据,（中华人民共和国税收征收管理法》第六十二条
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,0.02--
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,--
处罚决定日期,2023-02-20
处罚有效期,2023-03-07
公示截止期,2024-02-20
处罚机关,国家税务总局长海县税务局小长山税务所
