组织名称,大连瑞钰诚鑫物资有限公司
统一社会信用代码,91210204MA0QFGCE7A
行政处罚决定文书号,大税三稽罚【2022】39号
法人代表人,张丰贺
违法行为类型,发票违法
违法事实,"根据推送案源的相关要求，我局对你单位进行检查。我局在注册登记地址和生产经营地址未能找到你单位，经公告送达相关税务文书，你单位至今失联，属于走逃失联企业。通过你单位开户中国建设银行大连市分行调取该单位存款账户（账号：212501280087000002951及相关企业、个人的银行账户资料分析，发现你单位资金往来情况异常，存在虚开增值税专用发票情况。你单位于2017年1月1日至2017年12月31日期间对外开真与实际经营业务情况不符的109份正常增值税专用发票（金额合计7,640,967.93元，税额合计1,298,964.53元，发票代码2102164130，发票号码00038467-00038484，00038487-000384900049664901300067-01300077，02596527-02596551：发票代码2102173130，发票号码01941074-01941098，01963001-01963025】，品名煤、低温水泵、弹性法兰、加长枪钻头等。"
处罚依据,《中华人民共和国发票管理力法》第二十二条第二款第（一】项“任何单位和个人不得有下列虚开发票行为：（一）为他人、为自已开具与实际经营业务情况不符的发票”、第三十七条第一款“违反本力法第二十二条第二款的规定虚开发票的，由税务机关没收违法所得；虚开金额在1万元以下的，可以并处5万元以下的罚款：虚开金额超过1万元的，并处5万元以上50万元以下的罚款：构成犯罪的，依法道究刑事责任”、《国家税务总局辽宁省税务局国家税务总局吉林省税务局国家税务总局黑龙江省税务局国家税务总局大连市税务局关于发布东北区域税务行政处罚裁量基准>的公告》（2022年第1号）“六、违反发票及票证管理规定46.虚开发票（四）虚开金额超过100万元，或者有其他严重情节的，处50方元罚款”的规是
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,50-
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-12-05
处罚有效期,2022-12-26
公示截止期,2023-12-05
处罚机关,国家税务总局大连市税务局第三稽查局
