组织名称,大连盛世博禹国际贸易有限公司
统一社会信用代码,91210242MA0UB3QJ32
行政处罚决定文书号,大税二稽罚【2022】41号
法人代表人,陈忠民
违法行为类型,发票违法
违法事实,"根据大连市税务局第二稽查局协查函：你单位2019年12月16日取得中麟（大连）人力资源服务有限公司开具的1份增值税普通发票（发票代码021021900104，发票号码12199384，发票品名：人力资源服务*代付代垫工资和管理费：金额799,966.67元，税额563.33元，价税合计800,530元。大连盛世博禹国际贸易有限公司法定代表人陈忠民陈述：你单位主要从事聚乙烯管道及配套产品的贸易业务，从山东文远环保科技股份有限公司采购产品销售给达门贸易（苏州）有限公司。2019年初下游客户达门贸易（苏州）有限公司要求减少从贸易型企业采购改为从生产型企业直接采购，为了适用市场变化2019年3月你单位采购了PE挤塑设备一台，2019年4月注册成立营口博禹塑业有限公司计划生产聚之烯管道，因本应租赁的厂地没有租下来，原定的生产计划无法执行。为了不误下游订单，你单位与常年合作的上游生产企业山东文远环保科技股份有限公司协商，将PE挤塑设备安装在山东文远环保科技股份有限公司，由山东文远环保科技股份有限公司提供原材料产品检测，你单位负责招募人工进行生产。于是在当年7月份招募工人约30人产的产品以山东文远环保科技股份有限公司的名义销售给你单位，2019年10月取得山东文远环保科技股份有限公司开具的聚乙烯管道、浮体发票共6份。因这部分人工成本没有取得发票无法列支，陈忠民从互联网渠道与中麟（大连）人力资源服务有限公司取得联系，由中麟（大连）人力资源服务有限公司为该单位开具了价税合计800,530.00元的发票，陈忠民妻子王影向崔新宇转账37,061.00元，陈忠民称这是开票的手续费。由于你单位为一家贸易型企业，本身不具备生产能力，你单位提供的部分招募人员名单并无联系方式也没有为其付款记录，你单位提供的微信转账凭据没有对手方身份信息，无法切实证明支出真实合理，上述证据不能支持你单位法定代表人对该业务的描述真实可信。而2019年10月山东文远环保科技股份有限公司向大连盛世博寓国际贸易有限公司销售的聚之烯管道和浮体符合同期市场价格，你单位采购的这批货物毛利率与其他时段毛利率基本一致你单位将中麟（大连）人力资源服务有限公司开具的虚开发票800,530.00元列支2019年主营业务成本，并在当年度所得税汇算清缴时扣除的行为造成多计2019年主营业务成本800,530.00元，少缴2019年企业所得税67,813.80元，"
处罚依据,"你单位在无真实货物交易的情况下，为虚列成本少缴税款，以支付开票费方式取得中麟（大连）人力资源服务有限公司开具的1份增值税普通发票的行为，根据《中华人民共和国税收征收管理法》第六十三条第一款""纳税人伪造、变造、隐暨、擅自销毁账薄、记账凭证,或者在账薄上多列支出或者不列、少列收入,或者经税务机关通知申报而拒不申报或者进行虚假的纳税申报,不缴或者少缴应纳税款的,是偷税。对纳税人偷税的，由税务机关道缴其不缴或者少缴的税款、滞纳金，并处不缴或者少缴的税款百分之五十以上五倍以下的罚款：构成犯罪的，依法追究刑事责任""的规定，属于偷税行为，应当予以处罚。鉴于在检查过程中你单位能够积极配合我局检查，《国家税务总局大连市税务局关于发布大连市税务行政处罚裁量基准>的公告》（2018年第14号第三十五条第一项""纳税人实施偷税且同时符合下列情况的，处不缴或者少缴的税款百分之五十以上一倍以下的罚款：1,纳税人配合税务机关检查的；2.偷税比例在百分之五十以下的"""
处罚类别,罚款
处罚内容,罚款
罚款金额（万元）,3.39069
没收违法所得、没收非法财物的金额（万元）,--
暂扣或吊销证照名称及编号,
处罚决定日期,2022-12-08
处罚有效期,2022-12-26
公示截止期,2023-12-08
处罚机关,国家税务总局大连市税务局第二稽查局
