组织名称,大连源德水产有限公司
统一社会信用代码,91210212051103771N
行政处罚决定文书号,旅市监处罚【2022】70号
法人代表人,隋玲
违法行为类型,中华人民共和国食品安全法》第六十七条第一款
违法事实,"2022年10月31日，接到消费者举报：在淘宝网天猫店铺鲜煌旗舰店购买大连源德水产有限公司生产的酸甜裙带菜，生产日期为2022年9月3日：收到货后发现产品外包装配料表中食品添加剂阿斯巴甜未标注苯内氢酸字样，存在食品安全隐惠。场检查，现场该公司生产车间、库房及储物间均未发现举报件中提及的酸甜裙带菜（生产日期2022年9月3日、生产商大连源德水产有限公司）及食品添加剂阿斯巴甜，现场当事人向执法人员提供了举报件中提及的、留存未使用的标有鑫远航酸甜裙带菜梗丝学样的外包装袋1个，其食品标签标明“食品添加剂：阿斯巴甜“字样，未按照GB2760-2014《食品安全国家标准食品添加剂使用标准》要求：添加阿斯巴甜的食品应标明""阿斯巴甜（含苯内氢酸）“字样标明阿斯巴甜的通用名称。该公司从事生产经营食品标签不符合规定的远航酸甜裙带菜梗丝，涉构成生产经营食品标签不符合规定的食品的违法活动。经查，大连源德水产有限公司承认举报件中提及的添加食品添加剂阿斯巴甜的酸甜裙带菜（生产日期2022年9月3日、生产商大连源德水产有限公司）是该公司在2022年9月3日生产加工的鑫远航酸甜裙带菜梗丝。淘宝网天猫店铺鲜煌旗舰见店是该公司青岛客户王维林经营的网店，用于销售鑫远航酸甜裙带菜梗丝。该公司于2022年5月10日及8月15日接到大长山岛鑫淼优选商贸商行和青岛客户王维林的订单，按照GB2760-2014《食品安全国家标准食品添加剂使用标准》要求，在生产加工鑫远航酸甜裙带菜梗丝过程中添加使用了包括阿斯巴甜在内共计8种食品添加剂，用来改善和提高裙带菜的口感。该公司承认食品添加剂阿斯巴甜外包装上通用名称是；食品添加剂阿斯巴甜、天门冬酰苯丙酸甲酯，由于该名称过长，未留意到食品安全国家标准中对所使用食品添加剂的标明要求，在生产鑫远航酸甜裙带菜梗丝使用的外包装食品标签中未按照GB2760-2014《食品安全国家标准食品添加剂便用标准》要求标明：添加阿斯巴甜的食品应标明""阿斯巴甜（含苯内氢酸）“字样标明阿斯巴甜的通用名称。执法人员根据该公司提供的销售出库单确定了鑫远航酸甜裙带菜梗丝的销售单位、具体销售数量及销售金额。截止查获时止，该公司先后生产三批次添加了食品添加剂阿斯巴甜的鑫远航酸甜裙带菜梗丝，生产日期分别是2022年6月1日、2022年8月22日和2022年9月3日，规格420克×20袋/件，共计22件，每件销售价格74元，货值金额共计1628元。鑫远航酸甜裙带菜梗丝的销售商有两家，该公司分别于2022年6月1日及8月22日，将生产日期为2022年6月1日2022年8月22日的鑫远航酸甜裙带菜梗丝两次向大长山岛鑫淼优选商贸商行出库销售，销售数量分别是5、12件，客户自提，收到货款1258元，扣除生产用原辅料及人工成本1088元，获违法所得人民币170元：2022年9月3日将生产日期为2022年9月3日的鑫远航酸甜裙带菜梗丝向青岛王维林出库，销售数量是5件，快递发货，收到货款400元，扣除生产用原辅料、人工成本320元及运费30元，获违法所得人民币50元。销售上述3批次鑫远航酸甜裙带菜梗丝共获违法所得人民币220元。大连源德水产有限公司生产经营食品标签不符合规定的远航酸甜裙带菜梗丝，构成生产经营食品标签不符合规定的食品的违法行为。"
处罚依据,《中华人民共和国食品安全法》第一百二十五条第一款第（二）项
处罚类别,"没收违法所得,罚款"
处罚内容,没收违法所得人民币220元，罚款人民币5000元整，罚没款合计人民币5220元，上缴国库。
罚款金额（万元）,0.50.022
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,-
处罚决定日期,2022-12-14
处罚有效期,2023-12-14
公示截止期,2025-12-14
处罚机关,大连市旅顺口区市场监督管理局
