组织名称,大连绿普农场
统一社会信用代码,91210282683006005A
行政处罚决定文书号,2022030016
法人代表人,崔文举
违法行为类型,《中华人民共和国水污梁防治法》第三十九条：“禁止利用渗井、渗坑、裂隙溶洞，私设暗管，算改、伪造监测数据，或者不正常运行水污染防治设施等逃避监管的方式排非放水污染物。”
违法事实,"2022年8月25日，你（单位】从事育肥猪养殖，现存栏生猪约480头，建有一座干粪池，在每猪舍西侧有一个沉水井，猪舍内粪污水通过直径约20厘米的橡胶塑料管道排入沉水井，每个沉水井之间用橡胶塑料管道串连一起，第一个沉水井内的粪污水通过管道流入第二个沉水井，第二个沉水井的粪污水通过管道进入第三个沉水并，第三个沉水并的污水通过管道进入第四个沉水并，管道均为地埋式第四个沉水井内的粪污水通过地埋管道排到距离养殖场南面约100米的无防渗处理池塘里，池塘水面面积约1500平方米至2000平方米，池塘处可见排污口，池塘内水浑浊，现场有异味。沈阳华航检测技术有限公司采样人员对池塘处可见的排放口排水及池塘内水现场采样并出具检测报告》（022022082502、022022082501，结果显示池塘内排放口排水k化学需氧,量/80mg/L、氢氮13/mg/L、总磷20.1mg/L、总氮13/mg/L"
处罚依据,《中华人民共和国水污梁防治法》第八十三条第三项：“违反本法规定，有下列行为之一的，由县级以上人民政府环境保护主管部阶责令改正或者责令限制生产停产整治，并处十万元以上一百万元以下的罚款：情节严重的，报经有批准的人民政府批准，责令停业、关闭：（三利用渗井、渗坑、裂隙、溶洞，私设暗管，算改、伪造监测数据，或者不正常运行水污染防治设施等逃避监管的方式排放水污染物的；
处罚类别,罚款
处罚内容,罚款人民币壹拾万元整￥100000）#
罚款金额（万元）,10-
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-11-07
处罚有效期,2099-12-31
公示截止期,2025-11-07
处罚机关,大连市生态环境局
