组织名称,瓦房店市盛鑫农资有限公司
统一社会信用代码,91210281095237560W
行政处罚决定文书号,瓦市监处字【2022】48号
法人代表人,栾洪礼
违法行为类型,《中华人民共和国产品质量法》第四十九条“生产、销售不符合保障人体健康和人身、财产安全的国家标准、行业标准的产品的，责令停止生产、销售，没收违法生产、销售的产品，并处违法生产、销售产品（包括已售出和未售出的产品，下同货值金额等值以上三倍以下的罚款：有违法所得的，并处没收违法所得：情节严重的，吊销营业执照；构成犯罪的，依法追究刑事责任。“的规定进行处罚。
违法事实,现场在该公司成品库房内发现海法一魔力丰大量元素水溶肥料，执行标准NY/T1107-2020，重量20KG/箱，1.含量20-20-20+TE、数量131箱，2.含量10-52-10+TE数量42箱，3.含量35-15-10+TE、数量40箱，4.含量14-06-40+TE、数量35箱，合计248箱。在产品外包装箱标有以色列海法（中国）化学集团有限公司厂名，标有国内运营商：诺普斯（中国）化工有限公司，地址：山东青岛经济开发区紫荆山路1375号。执法人员当场对上述涉案海法一魔力丰大量元素水溶肥料数量248箱实施行政强制措施决定书【瓦市监强决【2022】1号】给予移地查封。本局分另在2022年3月22日和2022年4月1日分2次委托大连市产品质量检验检测研究院有限公司对上述涉案产品海法一魔力丰大量元素水溶肥料现场抽取样品，按国家标准NY/T1107-2020检验，1.含量20-20-20+TE、总氮标准要求≥18.5、检验结果18.30、磷标准要求≥18.5、检验结果0.08、钾标准要求≥18.5、检验结果4.03、大量元素含量标准要求≥60、检验结果22.4，2.含量10-52-10+TE、磷标准要求≥50.5、检验结果0.33、钾标准要求≥8.5、检验结果4.20、大量元素含量标准要求≥72、检验结果23.43.含量35-15-10+TE、总氮标准要求≥33.5、检验结果20.81、磷标准要求≥13.5、检验结果0.62、钾标准要求≥8.5、检验结果1.16、大量元素含量标准要求≥60、检验结果22.6，4.含量14-06-40+TE、磷标准要求≥4.5、检验结果0.33、钾标准要求≥38.5、检验结果4.08、大量元素含量标准要求≥60、检验结果21.8，检验结果判定为不合格。执法人员与2022年3月22日和2022年4月22日分别下达了检验报告结巢告知书「瓦市监质检结字［2022]1号」，［瓦市监质检结字［2022」2号，瓦房店市篮鑫农资有限公司在法定期限内没有提出复检要求。
处罚依据,《中华人民共和国产品质量法》
处罚类别,罚款
处罚内容,1、责令停止销售不合格海法一魔力丰大量元素水溶肥料产品；2、没收违法销售的海法一魔力丰大量元素水溶肥料379箱：3、没收违法所得壹仟捌佰壹拾元整（￥1810.00元）：4、处违法销售产品160%倍罚款拾壹万零伍佰柒拾陆元整（￥110576.00）元：以上罚没款合计人民币拾壹万贰仟参佰捌拾陆元整（￥112，386.00元）。
罚款金额（万元）,11.2386
没收违法所得、没收非法财物的金额（万元）,-
暂扣或吊销证照名称及编号,--
处罚决定日期,2022-05-27
处罚有效期,2022-05-27
公示截止期,2023-05-27
处罚机关,瓦房店市市场监督管理局
