组织名称,大连五和商贸有限公司
统一社会信用代码,91210211MA0YQ86W1K
行政处罚决定文书号,甘市监执—一处罚【[2022】006号
法人代表人,龚福
违法行为类型,违反了《中华人民共和国食品安全法》第三十四条第一款第（十三项禁止生产经营下列食品、食品添加剂、食品相关产品：（十三其他不符合法律、法规或者食品安全标准的食品、食品添加剂、食品相关产品。“的规定。当事人上述行为属于生产不符合食品安全标准的食品的违法行为。
违法事实,经查，该公司委托生产的该批次老式槽子糕（生产日期：2022年7月6日）10箱，一箱14袋，全部销往安徽阜阳涵溢食品，该公司已销售2箱，余下8箱全部召回并销毁。每袋卷式槽子糕零售价6元，共售出10箱，故货值为840元，违法所得840元
处罚依据,依据《中华人民共和国食品安全法》第一百二十四条第二款“违反本法规定有下列情形之一，尚不构成犯罪的，由县级以上人民政府食品药品监督管理部门没收违法所得和违法生产经营的食品、食品添加剂，并可以没收用于违法生产经营的工具、设备、原料等物品：违法生产经营的食品、食品添加剂货值金额不足一万元的，并处五万元以上十万元以下罚款：货值金额一万元以上的，并处货值金额十倍以上二十倍以下罚款：情节严重的，吊销许可证：除前款和本法第一百二十二条、第一白二十五条规定的情形外，生产经不符台法律、法规或者食品安全标准的食品、食品添加剂的，依前款规定给予处罚。“的规定依法对当事人进行行政处罚。
处罚类别,"没收违法所得,罚款"
处罚内容,1、没收违法所得840元：2、罚款6000元：罚没款合计6840元，上缴国库。
罚款金额（万元）,0.60.084
没收违法所得、没收非法财物的金额（万元）,
暂扣或吊销证照名称及编号,
处罚决定日期,2022-12-15
处罚有效期,2022-12-15
公示截止期,2023-12-15
处罚机关,大连市甘井子区市场监管管理局
